id,class,nameplate,rho,rho_hat,cost_ann,is_intermittent
1,storage,134.24224885994116,0.54,0.35,135000.0,true
2,storage,289.3189986688461,0.54,0.35,135000.0,true
3,storage,86.84608374948488,0.54,0.35,135000.0,true
4,storage,57.87809372235563,0.54,0.35,135000.0,true
5,storage,31.317707619835733,0.54,0.35,135000.0,true
6,storage,307.68879671262096,0.54,0.35,135000.0,true
7,storage,265.21489008948134,0.54,0.35,135000.0,true
8,storage,141.06412037542765,0.54,0.35,135000.0,true
9,storage,176.80989643070495,0.54,0.35,135000.0,true
10,storage,94.83767260604704,0.54,0.35,135000.0,true
11,storage,193.9915101763414,0.54,0.35,135000.0,true
12,storage,644.8187329456592,0.54,0.35,135000.0,true
13,storage,212.57876184034274,0.54,0.35,135000.0,true
14,storage,980.8076655486767,0.54,0.35,135000.0,true
15,storage,46.06698501566739,0.54,0.35,135000.0,true
16,storage,26.570237300830673,0.54,0.35,135000.0,true
17,storage,378.91541415944897,0.54,0.35,135000.0,true
18,storage,49.17418318482493,0.54,0.35,135000.0,true
19,storage,165.66389181705537,0.54,0.35,135000.0,true
20,storage,130.612640289778,0.54,0.35,135000.0,true
21,storage,34.30573757598548,0.54,0.35,135000.0,true
22,storage,288.1193145477583,0.54,0.35,135000.0,true
23,storage,41.48747927786375,0.54,0.35,135000.0,true
24,storage,36.722640895640524,0.54,0.35,135000.0,true
25,storage,769.7077244255476,0.54,0.35,135000.0,true
26,storage,102.55570126026193,0.54,0.35,135000.0,true
27,storage,195.83719607170738,0.54,0.35,135000.0,true
28,storage,55.236245700200534,0.54,0.35,135000.0,true
29,storage,226.3000677183615,0.54,0.35,135000.0,true
30,storage,192.3914213373578,0.54,0.35,135000.0,true
31,storage,158.5970522375329,0.54,0.35,135000.0,true
32,storage,44.131575220610614,0.54,0.35,135000.0,true
33,storage,287.14226536458347,0.54,0.35,135000.0,true
34,storage,107.74912932969396,0.54,0.35,135000.0,true
35,storage,134.94785218690672,0.54,0.35,135000.0,true
36,storage,70.55927344549791,0.54,0.35,135000.0,true
37,storage,337.6135568829996,0.54,0.35,135000.0,true
38,storage,85.60198221475252,0.54,0.35,135000.0,true
39,storage,403.14755448574,0.54,0.35,135000.0,true
40,storage,27.379553841555705,0.54,0.35,135000.0,true
41,storage,342.25548598792244,0.54,0.35,135000.0,true
42,storage,131.0212800602954,0.54,0.35,135000.0,true
43,storage,76.08745852604267,0.54,0.35,135000.0,true
44,storage,292.63662385196443,0.54,0.35,135000.0,true
45,storage,76.61880560843485,0.54,0.35,135000.0,true
46,storage,479.9683274286044,0.54,0.35,135000.0,true
47,storage,168.83771908237168,0.54,0.35,135000.0,true
48,storage,127.9644439782032,0.54,0.35,135000.0,true
49,storage,113.70412404200422,0.54,0.35,135000.0,true
50,storage,23.068859937624342,0.54,0.35,135000.0,true
51,storage,207.78445162936714,0.54,0.35,135000.0,true
52,storage,117.64064697577939,0.54,0.35,135000.0,true
53,storage,424.4976163964073,0.54,0.35,135000.0,true
54,storage,148.7638923714897,0.54,0.35,135000.0,true
55,storage,93.46138488971941,0.54,0.35,135000.0,true
56,storage,189.3921817785918,0.54,0.35,135000.0,true
57,storage,464.45318658037615,0.54,0.35,135000.0,true
58,storage,245.76582870381927,0.54,0.35,135000.0,true
59,storage,145.47373545470006,0.54,0.35,135000.0,true
60,storage,80.83731048951027,0.54,0.35,135000.0,true
61,storage,105.86224196880416,0.54,0.35,135000.0,true
62,storage,455.39191614142413,0.54,0.35,135000.0,true
63,storage,178.4470951411931,0.54,0.35,135000.0,true
64,storage,625.8525068376299,0.54,0.35,135000.0,true
65,storage,90.8889893602282,0.54,0.35,135000.0,true
66,storage,62.941093105042185,0.54,0.35,135000.0,true
67,storage,89.37809014264928,0.54,0.35,135000.0,true
68,storage,88.92490244469388,0.54,0.35,135000.0,true
69,storage,71.49538213186764,0.54,0.35,135000.0,true
70,storage,166.89731451251626,0.54,0.35,135000.0,true
71,storage,56.38236011160525,0.54,0.35,135000.0,true
72,storage,282.3776132750905,0.54,0.35,135000.0,true
73,storage,196.39126325621746,0.54,0.35,135000.0,true
74,storage,255.13865428475137,0.54,0.35,135000.0,true
75,storage,402.3101718225744,0.54,0.35,135000.0,true
76,storage,118.68297909777147,0.54,0.35,135000.0,true
77,storage,120.90473707357602,0.54,0.35,135000.0,true
78,storage,155.39372404367842,0.54,0.35,135000.0,true
79,storage,133.79042696539682,0.54,0.35,135000.0,true
80,storage,108.27531985690302,0.54,0.35,135000.0,true
81,storage,143.14822054482156,0.54,0.35,135000.0,true
82,storage,105.94821857331759,0.54,0.35,135000.0,true
83,storage,487.56324710035904,0.54,0.35,135000.0,true
84,storage,170.53054458756367,0.54,0.35,135000.0,true
85,storage,102.75834722758454,0.54,0.35,135000.0,true
86,storage,198.90589804917508,0.54,0.35,135000.0,true
87,storage,108.42176953337727,0.54,0.35,135000.0,true
88,storage,123.07705833217796,0.54,0.35,135000.0,true
89,storage,468.63327968209404,0.54,0.35,135000.0,true
90,storage,119.1479728315676,0.54,0.35,135000.0,true
91,storage,289.6189677662678,0.54,0.35,135000.0,true
92,storage,83.53640944216153,0.54,0.35,135000.0,true
93,storage,150.6288512577924,0.54,0.35,135000.0,true
94,storage,123.88363257347557,0.54,0.35,135000.0,true
95,storage,211.08952929202684,0.54,0.35,135000.0,true
96,storage,56.419872565235984,0.54,0.35,135000.0,true
97,storage,117.72984784649577,0.54,0.35,135000.0,true
98,storage,196.29684811328514,0.54,0.35,135000.0,true
99,storage,297.04470451897333,0.54,0.35,135000.0,true
100,storage,358.641997234862,0.54,0.35,135000.0,true
101,storage,671.7258361069272,0.54,0.35,135000.0,true
102,storage,59.80007558331302,0.54,0.35,135000.0,true
103,storage,204.42455985924133,0.54,0.35,135000.0,true
104,storage,165.2339589926901,0.54,0.35,135000.0,true
105,storage,508.41842257414106,0.54,0.35,135000.0,true
106,storage,203.38489011751466,0.54,0.35,135000.0,true
107,storage,67.05019560325714,0.54,0.35,135000.0,true
108,storage,103.54208586663522,0.54,0.35,135000.0,true
109,storage,79.98403916773105,0.54,0.35,135000.0,true
110,storage,197.34159040244913,0.54,0.35,135000.0,true
111,storage,117.90923454192772,0.54,0.35,135000.0,true
112,storage,155.9665241856199,0.54,0.35,135000.0,true
113,storage,156.09385156649395,0.54,0.35,135000.0,true
114,storage,132.41962493261627,0.54,0.35,135000.0,true
115,storage,50.92115096378554,0.54,0.35,135000.0,true
116,storage,214.7584156030618,0.54,0.35,135000.0,true
117,storage,84.07974883590522,0.54,0.35,135000.0,true
118,storage,271.3996304423704,0.54,0.35,135000.0,true
119,storage,382.8608209908054,0.54,0.35,135000.0,true
120,storage,34.76397247780476,0.54,0.35,135000.0,true
121,storage,70.68221007186261,0.54,0.35,135000.0,true
122,storage,60.85595901048893,0.54,0.35,135000.0,true
123,storage,102.84648583882208,0.54,0.35,135000.0,true
124,storage,167.8697446608361,0.54,0.35,135000.0,true
125,storage,117.14646362777569,0.54,0.35,135000.0,true
126,storage,129.73022409421935,0.54,0.35,135000.0,true
127,storage,146.70854964313955,0.54,0.35,135000.0,true
128,storage,91.81967168037434,0.54,0.35,135000.0,true
129,storage,264.3733677634272,0.54,0.35,135000.0,true
130,storage,35.298431823456205,0.54,0.35,135000.0,true
131,storage,114.71990823882822,0.54,0.35,135000.0,true
132,storage,104.40271833908004,0.54,0.35,135000.0,true
133,storage,493.44674132367857,0.54,0.35,135000.0,true
134,storage,113.00717218080729,0.54,0.35,135000.0,true
135,storage,53.43255751921251,0.54,0.35,135000.0,true
136,storage,337.6182871322973,0.54,0.35,135000.0,true
137,storage,122.25924026662328,0.54,0.35,135000.0,true
138,storage,189.66647179719862,0.54,0.35,135000.0,true
139,storage,346.544263317112,0.54,0.35,135000.0,true
140,storage,190.48292531491748,0.54,0.35,135000.0,true
141,storage,74.32963538890274,0.54,0.35,135000.0,true
142,storage,61.45121690395924,0.54,0.35,135000.0,true
143,storage,142.8036568816901,0.54,0.35,135000.0,true
144,storage,309.69609611618,0.54,0.35,135000.0,true
145,storage,66.6135274580219,0.54,0.35,135000.0,true
146,storage,46.454419183116,0.54,0.35,135000.0,true
147,storage,166.59196576343788,0.54,0.35,135000.0,true
148,storage,236.88583507564738,0.54,0.35,135000.0,true
149,storage,44.08877952161236,0.54,0.35,135000.0,true
150,storage,461.2395773745809,0.54,0.35,135000.0,true
151,storage,111.6032930866565,0.54,0.35,135000.0,true
152,storage,198.5519297122632,0.54,0.35,135000.0,true
153,storage,152.34678484580544,0.54,0.35,135000.0,true
154,storage,441.44799954325475,0.54,0.35,135000.0,true
155,storage,179.85606064354064,0.54,0.35,135000.0,true
156,storage,123.97561146397196,0.54,0.35,135000.0,true
157,storage,85.90291203238354,0.54,0.35,135000.0,true
158,storage,393.0866367718408,0.54,0.35,135000.0,true
159,storage,296.6621017381568,0.54,0.35,135000.0,true
160,storage,293.15363657616126,0.54,0.35,135000.0,true
161,storage,656.5150458819195,0.54,0.35,135000.0,true
162,storage,160.88757312043353,0.54,0.35,135000.0,true
163,storage,519.4082194171509,0.54,0.35,135000.0,true
164,storage,330.63023293901125,0.54,0.35,135000.0,true
165,storage,149.51418426284755,0.54,0.35,135000.0,true
166,storage,71.00452161287527,0.54,0.35,135000.0,true
167,storage,82.31220422117183,0.54,0.35,135000.0,true
168,storage,156.33143742585267,0.54,0.35,135000.0,true
169,storage,178.47477915715717,0.54,0.35,135000.0,true
170,storage,92.83734085699223,0.54,0.35,135000.0,true
171,storage,174.569992915169,0.54,0.35,135000.0,true
172,storage,172.5798987489271,0.54,0.35,135000.0,true
173,storage,138.69481922757217,0.54,0.35,135000.0,true
174,storage,89.6791658346186,0.54,0.35,135000.0,true
175,storage,115.2622293452535,0.54,0.35,135000.0,true
176,storage,234.9219725365437,0.54,0.35,135000.0,true
177,storage,256.70663175664987,0.54,0.35,135000.0,true
178,storage,51.223103157269996,0.54,0.35,135000.0,true
179,storage,348.5064976237174,0.54,0.35,135000.0,true
180,storage,193.17653899124025,0.54,0.35,135000.0,true
181,storage,98.7062571375003,0.54,0.35,135000.0,true
182,storage,109.59463006770628,0.54,0.35,135000.0,true
183,storage,54.605856197104075,0.54,0.35,135000.0,true
184,storage,150.73799483284188,0.54,0.35,135000.0,true
185,storage,233.97390853380833,0.54,0.35,135000.0,true
186,storage,598.2368041693215,0.54,0.35,135000.0,true
187,storage,145.99050268292757,0.54,0.35,135000.0,true
188,storage,243.57993159787665,0.54,0.35,135000.0,true
189,storage,244.15049159832287,0.54,0.35,135000.0,true
190,storage,149.86912652266588,0.54,0.35,135000.0,true
191,storage,150.2485790552177,0.54,0.35,135000.0,true
192,storage,90.05056466083052,0.54,0.35,135000.0,true
193,storage,328.8616233586213,0.54,0.35,135000.0,true
194,storage,67.31427314036267,0.54,0.35,135000.0,true
195,storage,118.56715669484754,0.54,0.35,135000.0,true
196,storage,69.88575234639389,0.54,0.35,135000.0,true
197,storage,131.2384200993579,0.54,0.35,135000.0,true
198,storage,43.261789212781885,0.54,0.35,135000.0,true
199,storage,97.27749761728442,0.54,0.35,135000.0,true
