id,caiso_qpos,name,fuel_tag,class,nameplate,rho,rho_hat,cost_ann,is_intermittent,county
1,22,MONTEZUMA (HIGH WINDS III),Wind Turbine+Battery,hybrid_wind,38.0,0.5,0.35,175000.0,true,SOLANO
2,32,TULE WIND,Wind Turbine+Battery,hybrid_wind,193.8,0.5,0.35,175000.0,true,SAN DIEGO
3,54,MIDWAY PEAKING,Natural Gas+Battery,gas,119.9,0.95,0.0,120000.0,false,FRESNO
4,61,FRESNO COGENERATION EXPANSION PROJECT,Natural Gas+Battery,gas,73.27,0.95,0.0,120000.0,false,FRESNO
5,72,LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,Pumped-Storage hydro,other,500.0,0.5,0.0,200000.0,false,RIVERSIDE
6,81,BOTTLE ROCK POWER,Geothermal+Battery,geothermal,52.01,0.95,0.0,400000.0,false,LAKE
7,96,CPC WEST,Wind Turbine+Battery+Battery,hybrid_wind,600.0,0.5,0.35,175000.0,true,KERN
8,100,WINDSTAR I ALTERNATE,Wind Turbine+Battery,hybrid_wind,120.0,0.5,0.35,175000.0,true,KERN
9,124,SILVER RIDGE MOUNT SIGNAL,Solar+Battery,hybrid_solar,600.0,0.6,0.4,160000.0,true,IMPERIAL
10,138,SANDSTORM WIND POWER ,Wind Turbine+Battery,hybrid_wind,150.0,0.5,0.35,175000.0,true,RIVERSIDE
11,222,MONTEZUMA II,Wind Turbine+Battery,hybrid_wind,78.0,0.5,0.35,175000.0,true,SOLANO
12,268,TRACY COMBINED-CYCLE POWER PLANT,Natural Gas+Battery,gas,145.0,0.95,0.0,120000.0,false,SAN JOAQUIN
13,272,AMERICAN KINGS SOLAR,Solar+Battery,hybrid_solar,123.0,0.6,0.4,160000.0,true,KINGS
14,297,ALTA VISTA SUNTOWER GENERATING STATION,Solar+Battery,hybrid_solar,66.0,0.6,0.4,160000.0,true,LOS ANGELES
15,378,LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,Natural Gas+Battery,gas,120.0,0.95,0.0,120000.0,false,SANTA CLARA
16,493,OCOTILLO EXPRESS,Wind Turbine+Battery,hybrid_wind,265.44,0.5,0.35,175000.0,true,IMPERIAL
17,506,ROSAMOND WEST SOLAR,Solar+Battery,hybrid_solar,299.6,0.6,0.4,160000.0,true,KERN
18,539,CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,STANISLAUS
19,606,TRACY - ADDITIONAL CAPACITY,Natural Gas,gas,20.0,0.95,0.0,120000.0,false,SAN JOAQUIN
20,625,KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,KINGS
21,643R,NORTH ROSAMOND SOLAR,Solar+Battery,hybrid_solar,153.0,0.6,0.4,160000.0,true,KERN
22,653B,PUMPJACK SOLAR I (AKA PIONEER SOLAR I),Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,KERN
23,678,EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),Solar+Battery,hybrid_solar,60.0,0.6,0.4,160000.0,true,FRESNO
24,720,LASSEN LODGE HYDROELECTRIC,Water,hydro,4.5,0.85,0.0,200000.0,false,TEHAMA
25,744,REDWOOD SOLAR FARM,Solar,solar,90.0,0.13,0.13,115000.0,true,KERN
26,768,BIG SKY SOLAR,Solar+Battery,hybrid_solar,320.0,0.6,0.4,160000.0,true,LOS ANGELES
27,779,WRIGHT SOLAR,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,MERCED
28,900,RIO BRAVO SOLAR 1,Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,KERN
29,972,RIO BRAVO SOLAR 2,Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,KERN
30,993,SUNSHINE VALLEY SOLAR 1,Solar+Battery,hybrid_solar,50.0,0.6,0.4,160000.0,true,NYE
31,1002,LASSEN LODGE HYDROELECTRIC 2,Water,hydro,0.5,0.85,0.0,200000.0,false,TEHAMA
32,1028,LITTLE BEAR SOLAR 1,Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,FRESNO
33,1029,LITTLE BEAR SOLAR 2,Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,FRESNO
34,1048,ESCONDIDO ENERGY CENTER 2,Battery,storage,33.0,0.95,0.55,135000.0,true,SAN DIEGO
35,1062,WHITE WING RANCH SOLAR,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,YUMA
36,1064,ARES NEVADA ,Gravity via Rail,other,44.0,0.5,0.0,200000.0,false,NYE
37,1074,GASKELL WEST,Solar+Battery,hybrid_solar,125.0,0.6,0.4,160000.0,true,KERN
38,1096,ALTAMONT MIDWAY LTD,Wind Turbine,wind,5.0,0.3,0.25,150000.0,true,ALAMEDA
39,1127,LITTLE BEAR 3,Solar+Battery,hybrid_solar,20.0,0.6,0.4,160000.0,true,FRESNO
40,1128,LITTLE BEAR 4,Solar+Battery,hybrid_solar,100.0,0.6,0.4,160000.0,true,FRESNO
41,1129,LUNA VALLEY SOLAR,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,FRESNO
42,1135,SCARLET,Solar+Battery,hybrid_solar,400.0,0.6,0.4,160000.0,true,FRESNO
43,1169,FALLBROOK ENERGY STORAGE,Battery,storage,69.6,0.95,0.55,135000.0,true,SAN DIEGO
44,1175,LECONTE ENERGY STORAGE,Battery,storage,125.0,0.95,0.55,135000.0,true,IMPERIAL
45,1204,ARATINA SOLAR CENTER 1,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,SAN BERNARDINO
46,1207,SIENNA SOLAR FARM,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,SAN BERNARDINO
47,1208,ANTELOPE SOLAR 2,Battery+Solar,hybrid_solar,650.0,0.6,0.4,160000.0,true,LOS ANGELES
48,1212,GOLDEN FIELDS SOLAR,Battery+Battery,storage,92.0,0.95,0.55,135000.0,true,KERN
49,1222,AGUA CALIENTE SOLAR 2,Solar,solar,20.0,0.13,0.13,115000.0,true,MARICOPA
