Γ,cost,π_star,λ_star,n_bind,MW_storage,MW_gas,MW_solar,MW_wind,MW_hybrid,MW_nuclear,MW_hydro,MW_other
0.0,1.0146103896103899e10,155844.15584415584,322.4581011098691,0,46296.296296296285,32467.532467532503,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0155819389619537e10,155844.15584415584,62.34108339190422,0,46296.29629629639,32548.494913496026,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0165534883135159e10,155844.15584415584,62.34108339190422,0,46296.29629629639,32629.457359459542,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0194681363682024e10,155844.15584415584,62.34108339190422,0,46296.29629629639,32872.344697350076,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.024325883126013e10,155844.15584415584,62.34108339190422,0,46296.29629629639,33277.156927167634,0.0,0.0,0.0,0.0,0.0,0.0
25.0,1.0388991233994455e10,155844.15584415582,62.34108339190422,0,46296.29629629639,34491.593616620325,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1.063187857188499e10,155844.15584415584,62.34108339190422,0,46296.29629629639,36515.65476570811,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.1117653247666065e10,155844.15584415584,62.34108339190422,0,46296.29629629639,40563.77706388371,0.0,0.0,0.0,0.0,0.0,0.0
200.0,1.200239441899423e10,155844.15584415584,45.65100533824672,57,46296.296296296256,47936.62015828519,0.0,0.0,0.0,0.0,0.0,0.0
601.0,1.267135642135643e10,155844.15584415584,0.0,241,46296.29629629631,53511.30351130351,0.0,0.0,0.0,0.0,0.0,0.0
