Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e7,0.25,0.25,1.000000025e7
2,-1.25,0.25,1.0,1.5
3,-0.5,0.0625,0.0625,0.5625
4,-0.125,0.015625,0.015625,0.140625
5,-0.03125,0.00390625,0.00390625,0.03515625
6,-0.0078125,0.0009765625,0.0009765625,0.0087890625
7,-0.001953125,0.000244140625,0.000244140625,0.002197265625
8,-0.00048828125,6.103515625e-5,6.103515625e-5,0.00054931640625
9,-0.0001220703125,1.52587890625e-5,1.52587890625e-5,0.0001373291015625
10,-3.0517578125e-5,3.814697265625e-6,3.814697265625e-6,3.4332275390625e-5
