Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e6,1.0,1.0,1.000001e6
2,-1.0e6,1.0,1.0,1.000001e6
3,-1.0e6,1.0,1.0,1.000001e6
4,-1.0e6,1.0,1.0,1.000001e6
5,-1.0e6,1.0,1.0,1.000001e6
6,-1.0e6,1.0,1.0,1.000001e6
7,-1.0e6,1.0,1.0,1.000001e6
8,-1.0e6,1.0,1.0,1.000001e6
9,-1.0e6,1.0,1.0,1.000001e6
10,-1.0e6,1.0,1.0,1.000001e6
11,-1.0e6,1.0,1.0,1.000001e6
12,-1.0e6,1.0,1.0,1.000001e6
13,-1.0e6,1.0,1.0,1.000001e6
14,-1.0e6,1.0,1.0,1.000001e6
15,-1.0e6,1.0,1.0,1.000001e6
16,-1.0e6,1.0,1.0,1.000001e6
17,-1.0e6,1.0,1.0,1.000001e6
18,-1.0e6,1.0,1.0,1.000001e6
19,-1.0e6,1.0,1.0,1.000001e6
20,-1.0e6,1.0,1.0,1.000001e6
21,-1.0e6,1.0,1.0,1.000001e6
22,-1.0e6,1.0,1.0,1.000001e6
23,-1.0e6,1.0,1.0,1.000001e6
24,-1.0e6,1.0,1.0,1.000001e6
25,-1.0e6,1.0,1.0,1.000001e6
26,-1.0e6,1.0,1.0,1.000001e6
27,-1.0e6,1.0,1.0,1.000001e6
28,-1.0e6,1.0,1.0,1.000001e6
29,-1.0e6,1.0,1.0,1.000001e6
30,-1.0e6,1.0,1.0,1.000001e6
31,-1.0e6,1.0,1.0,1.000001e6
32,-1.0e6,1.0,1.0,1.000001e6
33,-1.0e6,1.0,1.0,1.000001e6
34,-1.0e6,1.0,1.0,1.000001e6
35,-1.0e6,1.0,1.0,1.000001e6
36,-1.0e6,1.0,1.0,1.000001e6
37,-1.0e6,1.0,1.0,1.000001e6
38,-1.0e6,1.0,1.0,1.000001e6
39,-1.0e6,1.0,1.0,1.000001e6
40,-1.0e6,1.0,1.0,1.000001e6
41,-1.0e6,1.0,1.0,1.000001e6
42,-1.0e6,1.0,1.0,1.000001e6
43,-1.0e6,1.0,1.0,1.000001e6
44,-1.0e6,1.0,1.0,1.000001e6
45,-1.0e6,1.0,1.0,1.000001e6
46,-1.0e6,1.0,1.0,1.000001e6
47,-1.0e6,1.0,1.0,1.000001e6
48,-1.0e6,1.0,1.0,1.000001e6
49,-1.0e6,1.0,1.0,1.000001e6
50,-1.0e6,1.0,1.0,1.000001e6
51,-1.0e6,1.0,1.0,1.000001e6
