Index,Value
1,0.001670512517762938
2,-0.07183227295739034
3,0.02153746670590308
4,0.04186180270749625
5,-0.17819723643181912
6,0.11075274768303277
7,-0.37850497464943444
8,-0.4951384165022271
9,-0.20006433668022058
10,-0.208944407496385
11,-0.0059724369025713426
12,-0.1901907935014438
13,0.36849253263296233
14,0.28875697301821995
15,-0.34890184447504347
16,-0.01568152388422745
17,-0.4751167308560387
18,0.002724678144964918
19,0.18234105360791633
20,0.2142055690688216
21,-0.0732121474334701
22,0.0010827588608541884
23,-0.016595570219460645
24,-0.4964552837699083
25,0.2212238652703321
26,-0.08013949194101602
27,-0.4734737049582088
28,-0.2159786502946692
29,0.10947074899598555
30,-0.3741768164182061
31,0.06314590579473531
32,0.16884348428875304
33,0.17692341935059092
34,-0.1881411576844359
35,0.1612635376400561
36,-0.26266527116807403
37,0.2936865532590451
38,0.1917961217239843
39,-0.03035654810948117
40,-0.15508565232558302
41,0.3734455252627239
42,0.0522974523873988
43,-0.055317038397654415
44,0.09521882875838662
45,0.011540681010709949
46,0.3517176632169042
47,0.05323892544111718
48,0.0002224213912179931
49,-0.36977265604713766
50,0.051872164906002334
51,-0.043471363585992934
52,0.3867020334063839
53,0.042017074790353715
54,0.35314433076926205
55,-0.3709039842112174
56,-0.30414108527778777
57,0.42938454269403703
58,0.17235744802350147
59,-0.24975168642365156
60,-0.1578426103732166
61,0.4260034915643086
62,0.05480290924327979
63,0.11517445490795751
64,-0.09173369032985416
65,0.20742746381369245
66,0.39988623087481
67,-0.06449383302326396
68,-0.05030260322202845
69,-0.12066331942777751
70,0.3212808367506908
71,-0.2116935030370175
72,0.282395720107701
73,0.09445553959601798
74,0.3157625143075242
75,0.19316187398775514
76,-0.5
77,-0.06469162405763021
78,-0.006071706374860965
79,-0.2404078190993581
80,-0.16893692533157204
81,-0.2533571321948069
82,-0.3009279319123364
83,0.049425249776646384
84,-0.3584429947400915
85,0.5218065411723476
86,-0.17009537554774967
87,-0.0825749722002706
88,0.011986265559050514
89,0.0005609057217236553
90,0.06988587402470983
91,-0.10897334594040763
92,-0.4763976600332461
93,0.024481408941593317
94,-0.2629849427018113
95,-0.30513990219218584
96,-0.09617108292826593
97,0.07200816944586914
98,0.07266908268639637
99,-0.44604282098115944
100,-0.21675532176934054
