Iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0
4,-0.5,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5
5,-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,1.0
6,1.0,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0
7,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0
8,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.9999999999999997,-0.5,1.0000000000000002,1.0,-0.5,1.0,1.0,0.2500000000000001,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,-0.5,1.0,0.25000000000000033,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,-0.5,0.25000000000000006,-0.5,1.0,1.0,0.24999999999999992,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.0
9,0.8125000000000012,1.0,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.31249999999999944,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,0.625,-0.5,1.0,1.0,-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,0.24999999999999997,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.3125000000000003,-0.5,1.0,1.0,-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,0.8125000000000002,-0.5,-0.5,0.6249999999999991,-0.5,1.0
10,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,-0.20072115384615452,-0.5,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3197115384615385,-0.5,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.5,-0.5,1.0,0.578125,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,0.15985576923076916,-0.5,-0.13942307692307665,1.0,-0.5,-0.020432692307692676,1.0,1.0,1.0,-0.5,0.762019230769231,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,-0.5,-0.31971153846153855,-0.5,-0.5,1.0,-0.5
