Iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
2,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453
3,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996
4,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494
5,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355
6,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477
7,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194
8,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777
9,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793
10,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354
