Iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
2,-9.700515909641089,-9.293575727798565,-9.632740108165645,-8.349432932094814,-9.64692133442319,-8.979580645130948,-10.0,-8.29217755383359,-8.19897366402713,-8.64765651415854
3,-9.488748678490818,-8.79405833453016,-9.373048148191735,-7.182305765575861,-9.39725701570153,-8.25803519964904,-10.0,-7.084564721086722,-6.9254557287651535,-7.691405264826589
4,-9.31584145830409,-8.386204090812576,-9.161010550778618,-6.229350424605271,-9.193406953085645,-7.668895810429089,-10.0,-6.098552972064459,-5.885632688873612,-6.910629389239184
5,-9.166099413124636,-8.032991954711859,-8.977380604861441,-5.404066890652679,-9.01686762029724,-7.158686132994563,-10.0,-5.244641748981254,-4.985119520887177,-6.234457646318454
6,-8.9174366346486,-7.562975961934921,-8.912440494422732,-5.316803547468332,-8.503261147384466,-7.269240780054741,-9.69137118763581,-5.052055594009874,-4.929974221220464,-5.235686978586605
7,-8.79517276673845,-7.274579460466507,-8.762507271425413,-4.642962363700089,-8.35911738576347,-6.852656322873212,-9.961221699289412,-4.354839999946624,-4.194708298479145,-4.683595062371887
8,-8.585014361516814,-6.87734344438063,-8.707622860785598,-4.569211377926004,-7.925040689925132,-6.94609205321613,-9.700382745388007,-4.192074991670758,-4.148102013837542,-3.8394797830402734
9,-8.388429174194274,-6.505763175910537,-8.656283195663299,-4.500223647750138,-7.518999121072646,-7.03349317587268,-9.456390245732111,-4.039822267789829,-4.104505826537707,-3.0498822404903034
10,-8.288601144074637,-6.2702884185100585,-8.533863231718515,-3.9500346251150766,-7.401306232547043,-6.69335339091633,-9.676722265858874,-3.4705481190676917,-3.504163714546751,-2.59910107854315
11,-7.4531302297539375,-5.820593906391279,-8.262855006441614,-3.6671630474346086,-7.622954021022998,-6.586227213799931,-9.562085853046716,-3.8385551060066962,-3.7190505287438174,-2.2772454349962903
12,-7.285481818705667,-5.503709188705543,-8.21907239291549,-3.6083301134616392,-7.276680607624974,-6.660763141642574,-9.354008350198585,-3.7087135468126675,-3.681871575293025,-1.6038743881791575
13,-7.124970685395775,-5.200315169959506,-8.177153731877159,-3.5520018676470797,-6.945149054942389,-6.732125859460892,-9.154789308457538,-3.5843997183269556,-3.646275437421225,-0.9591706943781723
14,-6.39221422009303,-4.805906991867369,-7.939463794599887,-3.303907082008394,-7.139547025286893,-6.638169986743248,-9.054246523296044,-3.9071631973828267,-3.834743641056102,-0.6768846211461742
15,-6.312173730170695,-4.617107163561733,-7.841309459803615,-2.8627744775803055,-7.045182782632053,-6.365451442689471,-9.2309051512925,-3.450728449454477,-3.3533991057870094,-0.3154556216280081
16,-6.168608208080116,-4.345743303608539,-7.803816269560622,-2.8123929629024365,-6.748651947238328,-6.429280197929828,-9.05271822339436,-3.3395387810395563,-3.32156095217989,0.26118489224567687
17,-6.093737185490388,-4.16913723555818,-7.7120012966020335,-2.3997511959261404,-6.660382280844126,-6.174175359212565,-9.217967238489432,-2.9125831694979536,-2.8713043681866726,0.5992707637060422
18,-5.452960245006111,-3.8242372890862772,-7.50414747612499,-2.182798599505202,-6.830378374460631,-6.092013331975225,-9.130045123415453,-3.1948316441313818,-3.0361150312407728,0.8461227737694227
19,-5.32190345345775,-3.576517110106215,-7.469921032710124,-2.1368067793879577,-6.55968399522564,-6.1502807470795915,-8.96738345697819,-3.093329828210762,-3.007050906374216,1.3725211354694027
20,-5.4407749378827255,-3.7056021886109742,-7.159833450980043,-1.7905260787454509,-6.344649105393008,-6.08718404735999,-8.825829518430064,-2.8544469615585824,-3.441991949246343,1.1028307558610635
21,-5.316443548644708,-3.470594192222505,-7.127363395760689,-1.7468944071532775,-6.08784586893662,-6.142461370890079,-8.671515112247969,-2.7581538840728927,-3.4144192994129865,1.6022160897269877
22,-4.739913844839727,-3.160275497184073,-6.940349953198606,-1.551694473679151,-6.240797374068276,-6.068537285558042,-8.592408471919745,-3.0121028313568514,-3.562705289047182,1.8243175844186448
23,-4.953820234557566,-3.0808793636963347,-6.742968119733221,-1.1264115279290765,-6.30838323489374,-6.048204869025203,-8.445655851144782,-2.804181135380757,-3.403920956933643,1.5355143932908584
24,-4.837880616277916,-2.861733277089165,-6.712689637117345,-1.0857247843778126,-6.068912982126484,-6.099751239003666,-8.301756925399228,-2.714387377625094,-3.378209328388111,2.001193618285527
25,-4.943647294706298,-2.976587567452908,-6.436787189191077,-0.7776192728837896,-5.877584286654822,-6.0436105389744075,-8.17580838550243,-2.501839789265521,-3.7652009575352614,1.761234844377338
26,-4.883750476634516,-2.835302713012621,-6.363335210824206,-0.44750585930275255,-5.80696855353946,-5.839526668000597,-8.308007597578488,-2.1602753000322386,-3.4049956903406873,2.0317035415456304
27,-4.774704634651729,-2.629187065178837,-6.3348570885067295,-0.40923835183706625,-5.581737215621386,-5.88800808788849,-8.17266491014188,-2.075820684219661,-3.380812876690797,2.4696934533370576
28,-4.96779171521448,-2.557518483219505,-6.156686244567814,-0.025347798047031023,-5.642745007727658,-5.869654606469397,-8.040195584902236,-1.8881358127455685,-3.237482875341368,2.208999207103329
29,-4.468502345683048,-2.2887746100469863,-5.994727852459867,0.14370030315859492,-5.775204896718738,-5.805634470620325,-7.971687224769957,-2.1080620523577918,-3.365902309389897,2.401344743724799
30,-4.381484417922167,-2.3415601936266217,-5.836665163870035,0.08843827346312988,-5.7985668347473345,-5.788067559463154,-7.95671916241477,-2.208795791653229,-2.9310480612853915,2.2991749654292692
31,-4.476085011010256,-2.4442889939309533,-5.589890512381342,0.3640162206403211,-5.627437247098937,-5.7378537908352145,-7.844067363664336,-2.0186874492429694,-3.2771838970839586,2.084549313326784
32,-4.37621963598498,-2.2555260287850865,-5.563809936418625,0.39906202261548074,-5.421167923852448,-5.782253605544579,-7.720119049890766,-1.9413429881669575,-3.255037011788746,2.485665266058322
33,-4.293381036738813,-2.3057764072604763,-5.4133387398182515,0.34645413767420885,-5.443407826269829,-5.765530404351593,-7.705869879049326,-2.0372386509893694,-2.8410681008281258,2.3884025348364255
34,-4.3835791631687515,-2.4037244751887377,-5.178048341649664,0.6092074007287587,-5.280242166534058,-5.717653454499819,-7.598460603329563,-1.8559774585976956,-3.1710956710593146,2.183765004864266
35,-4.303213917387538,-2.4524745029961013,-5.032069838779917,0.5581702557044752,-5.301818041068244,-5.701429566284022,-7.584636877104451,-1.9490099166813242,-2.769486836797538,2.089406295625692
36,-4.2092282213638335,-2.2748251559802575,-5.00752478416079,0.5911526992241701,-5.107693041199639,-5.743215295198843,-7.467986150683756,-1.8762191921086935,-2.7486438726700726,2.466906124712034
37,-4.29558635267669,-2.3686032913671338,-4.782251378759402,0.842719795924028,-4.951473815513665,-5.697376605574064,-7.36514959848518,-1.702674812928668,-3.0646212147163716,2.2709806062523885
