Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e6,249.0170057227222,249.0170057227222,1.0002490170057227e6
2,-860.0370481525833,165.25099640744315,165.25099640744315,1025.2880445600265
3,-539.1491788401437,165.25099640744315,197.28415152977666,704.4001752475868
4,-435.2298731968672,134.98917312797408,134.98917312797408,570.2190463248412
5,-355.0517345363269,134.98917312797408,271.0055174736917,490.04090766430096
6,-282.5808661362767,55.63488130929497,55.63488130929497,338.21574744557165
7,-265.0375537387609,54.67705610036706,54.67705610036706,319.71460983912795
8,-251.59773790525247,54.67705610036706,75.08289574874385,306.2747940056195
9,-234.305611333491,50.30435746190567,50.30435746190567,284.60996879539664
10,-216.76367594950813,26.16622608861095,26.16622608861095,242.92990203811908
11,-212.03408035677222,26.16622608861095,137.34655855771993,238.20030644538318
12,-201.09905588174453,1.4676457934694744,1.4676457934694744,202.566701675214
13,-194.17516539596105,1.4676457934694744,32.105903719770126,195.64281118943052
14,-186.22140308297656,-32.30225063005787,-32.30225063005787,153.9191524529187
15,-184.26127897142229,-32.30225063005787,-31.1469254374765,151.95902834136442
16,-178.8700045730032,-32.30225063005787,-28.012275751349215,146.56775394294533
17,-175.17677420630417,-32.30225063005787,-7.979993359490256,142.8745235762463
18,-172.0242077376165,-123.95099585737623,-123.95099585737623,48.07321188024028
19,-171.91394172916458,-137.1852014090646,-137.1852014090646,34.72874032009997
20,-171.03956985371562,-171.03956985371545,-171.03956985371545,1.7053025658242404e-13
