Iteration,x1,x2,x3
1,0.0,0.0,0.0
2,100000.0,100000.0,100000.0
3,99994.2264973081,99988.45299461621,99995.38119784648
4,99989.2264973081,99978.45299461621,99991.38119784648
5,99984.7543613531,99969.5087227062,99987.80348908248
6,99980.67187844847,99961.34375689692,99984.53750275877
7,99976.89223371838,99953.78446743674,99981.5137869747
8,99973.35669981244,99946.71339962487,99978.68535984996
9,99970.02336647912,99940.0467329582,99976.01869318329
10,99966.86108881894,99933.72217763787,99973.48887105515
11,99963.84597537316,99927.69195074632,99971.07678029852
12,99960.95922402722,99921.91844805442,99968.76737922177
13,99958.18572304609,99916.37144609216,99966.54857843686
14,99955.51311062697,99911.02622125391,99964.41048850157
15,99952.9311217295,99905.86224345896,99962.34489738359
16,99950.4311217295,99900.86224345896,99960.34489738359
17,99948.00576547915,99896.01153095823,99958.4046123833
18,99945.64874287519,99891.29748575033,99956.51899430013
19,99943.35458553648,99886.70917107291,99954.68366842916
20,99941.11851755898,99882.23703511791,99952.89481404716
21,99938.93633865661,99877.8726773132,99951.14907092527
22,99936.80433149305,99873.60866298608,99949.44346519442
23,99934.71918735249,99869.43837470494,99947.77534988197
24,99932.67794590017,99865.35589180031,99946.14235672011
25,99930.67794590017,99861.35589180031,99944.5423567201
26,99928.71678454879,99857.43356909754,99942.97342763901
27,99926.79228365149,99853.58456730294,99941.43382692117
28,99924.90246128645,99849.80492257285,99939.92196902914
29,99923.04550790468,99846.0910158093,99938.43640632372
30,99921.21976604633,99842.4395320926,99936.97581283703
31,99919.42371302606,99838.84742605206,99935.53897042082
32,99917.6559460731,99835.31189214613,99934.12475685845
33,99915.91516951354,99831.83033902702,99932.7321356108
34,99914.2001836621,99828.40036732417,99931.36014692966
35,99912.50987515265,99825.01975030525,99930.00790012209
36,99910.84320848598,99821.68641697192,99928.67456678876
37,99909.19921861292,99818.39843722581,99927.35937489032
38,99907.57700440161,99815.15400880319,99926.06160352127
39,99905.97572286356,99811.95144572709,99924.78057829084
40,99904.39458403348,99808.78916806691,99923.51566722678
41,99902.83284641459,99805.66569282913,99922.26627713167
42,99901.28981291497,99802.5796258299,99921.03185033197
43,99899.76482721165,99799.52965442324,99919.81186176931
44,99898.25727048876,99796.51454097746,99918.605816391
45,99896.76655850376,99793.53311700745,99917.413246803
46,99895.29213894221,99790.58427788435,99916.23371115376
47,99893.83348902724,99787.66697805439,99915.06679122178
48,99892.39011335427,99784.78022670845,99913.9120906834
49,99890.9615419257,99781.9230838513,99912.76923354054
50,99889.54732836333,99779.09465672656,99911.63786269065
51,99888.14704827931,99776.29409655851,99910.51763862342
52,99886.76029778874,99773.52059557739,99909.40823823097
53,99885.38669214926,99770.77338429842,99908.30935371938
54,99884.02586451438,99768.05172902865,99907.22069161148
55,99882.67746478945,99765.3549295788,99906.14197183154
56,99881.34115857989,99762.68231715968,99905.0729268639
57,99880.01662622283,99760.03325244554,99904.01330097824
58,99878.70356189423,99757.40712378835,99902.96284951536
59,99877.40167278443,99754.80334556873,99901.92133822752
60,99876.1106783357,99752.22135667126,99900.88854266853
61,99874.83030953637,99749.6606190726,99899.86424762907
62,99873.56030826636,99747.1206165326,99898.84824661307
63,99872.30042668966,99744.6008533792,99897.84034135171
64,99871.05042668966,99742.1008533792,99896.84034135171
65,99869.81007934376,99739.62015868742,99895.848063475
66,99868.57916443396,99737.15832886784,99894.86333154717
67,99867.3574699904,99734.71493998071,99893.88597599232
68,99866.14479186521,99732.28958373035,99892.91583349218
69,99864.94093333435,99729.88186666864,99891.95274666749
70,99863.74570472502,99727.49140944997,99890.99656378002
71,99862.55892306683,99725.11784613358,99890.04713845346
72,99861.38041176485,99722.76082352962,99889.10432941189
73,99860.2100002929,99720.4200005857,99888.16800023432
74,99859.04752390545,99718.09504781083,99887.23801912437
75,99857.89282336707,99715.78564673408,99886.31425869367
76,99856.74574469772,99713.49148939537,99885.3965957582
77,99855.60613893313,99711.21227786617,99884.48491114652
78,99854.47386189898,99708.94772379789,99883.5790895192
79,99853.34877399805,99706.69754799604,99882.67901919846
80,99852.2307400093,99704.46148001854,99881.78459200746
81,99851.11962889819,99702.23925779632,99880.89570311857
82,99850.01531363744,99700.03062727483,99880.01225090997
83,99848.91767103755,99697.83534207504,99879.13413683006
84,99847.82658158637,99695.65316317267,99878.26126526912
85,99846.74192929728,99693.48385859448,99877.39354343784
86,99845.66360156525,99691.32720313041,99876.53088125221
87,99844.59148903041,99689.18297806074,99875.67319122434
88,99843.52548544864,99687.05097089718,99874.82038835892
89,99842.46548756864,99684.93097513716,99873.97239005491
90,99841.41139501525,99682.82279003039,99873.1291160122
91,99840.36311017853,99680.72622035694,99872.29048814283
92,99839.32053810824,99678.64107621637,99871.45643048659
93,99838.28358641351,99676.56717282691,99870.6268691308
94,99837.25216516726,99674.50433033438,99869.8017321338
95,99836.22618681517,99672.4523736302,99868.98094945213
96,99835.205566089,99670.41113217789,99868.1644528712
97,99834.19021992387,99668.38043984762,99867.3521759391
98,99833.18006737932,99666.36013475852,99866.54405390346
99,99832.17502956405,99664.350059128,99865.74002365125
100,99831.17502956405,99662.350059128,99864.94002365124
101,99830.17999237384,99660.35998474759,99864.14399389908
