Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e7,6.608320287974108e9,6.608320287974108e9,6.618320287974108e9
2,-7.193137679712026e12,3.813216640575948e7,3.813216640575948e7,7.193175811878432e12
3,154194.58062458038,3.813216640575948e7,6.121660107402424e8,3.79779718251349e7
4,157960.9578409195,3.813216640575948e7,1.9006050919292235e8,3.7974205447918564e7
5,160131.35949414875,3.813216640575948e7,7.648404310291627e7,3.7972035046265334e7
6,162166.74522273583,1.0599984247499235e7,1.0599984247499235e7,1.0437817502276499e7
7,162584.27462400292,4.59147475985333e6,4.59147475985333e6,4.428890485229327e6
8,162938.60003583776,295105.0057953184,295105.0057953184,132166.40575948064
9,187235.74149260053,213437.40023569154,213437.40023569154,26201.658743091015
10,196493.49321783538,209767.5465063225,209767.5465063225,13274.053288487135
11,196494.55518457718,207672.4757736579,207672.4757736579,11177.92058908072
12,198032.64998177183,204187.27407951315,204187.27407951315,6154.624097741325
13,202150.89650276717,204187.27407951315,205501.41339330515,2036.3775767459883
14,202151.16455484048,204187.27407951315,205365.10900678101,2036.1095246726763
15,203067.82202835847,204187.27407951315,204551.87905958857,1119.452051154687
16,203315.16486689684,204187.27407951315,204312.87729203806,872.109212616313
17,203815.95668436412,204187.27407951315,206098.14374544923,371.31739514903165
18,203816.12785866417,204102.93858430476,204102.93858430476,286.81072564059286
19,203863.91434908705,203974.11193033587,203974.11193033587,110.19758124882355
20,203974.0766656993,203974.11193033587,204664.45590163063,0.03526463656453416
21,203974.0950765487,203974.11193033587,204090.54846095247,0.016853787179570645
22,203974.09818209647,203974.11193033587,204114.077397943,0.013748239405686036
23,203974.10042187013,203974.11193033587,204038.13370285166,0.011508465744554996
24,203974.10383709843,203974.11193033587,203979.66455107636,0.008093237440334633
25,203974.10428255558,203974.11155992025,203974.11155992025,0.007277364667970687
26,203974.10428197338,203974.1042820274,203974.1042820274,5.4016709327697754e-8
