Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e6,1.6796586635402808e11,1.6796586635402808e11,1.6796686635402808e11
2,-1.0e6,4.1359317327080555e7,4.1359317327080555e7,4.2359317327080555e7
3,-1.0e6,4.135606107156233e7,4.135606107156233e7,4.235606107156233e7
4,-1.0e6,4.135324107156233e7,4.135324107156233e7,4.235324107156233e7
5,-1.0e6,4.1350718786883704e7,4.1350718786883704e7,4.2350718786883704e7
6,-1.0e6,4.134841626652549e7,4.134841626652549e7,4.234841626652549e7
7,-1.0e6,4.134628454689772e7,4.134628454689772e7,4.234628454689772e7
8,-1.0e6,4.134429050577477e7,4.134429050577477e7,4.234429050577477e7
9,-1.0e6,4.1342410505774766e7,4.1342410505774766e7,4.2342410505774766e7
10,-1.0e6,4.134062698117443e7,4.134062698117443e7,4.234062698117443e7
11,-1.0e6,4.133892645719101e7,4.133892645719101e7,4.233892645719101e7
12,-1.0e6,4.13372983294319e7,4.13372983294319e7,4.23372983294319e7
13,-1.0e6,4.133573407487854e7,4.133573407487854e7,4.233573407487854e7
14,-1.0e6,4.133422672147416e7,4.133422672147416e7,4.233422672147416e7
15,-1.0e6,4.1332770479735985e7,4.1332770479735985e7,4.2332770479735985e7
16,-1.0e6,4.1331360479735985e7,4.1331360479735985e7,4.2331360479735985e7
17,-1.0e6,4.1329992578810774e7,4.1329992578810774e7,4.2329992578810774e7
18,-1.0e6,4.1328663218062155e7,4.1328663218062155e7,4.2328663218062155e7
19,-1.0e6,4.132736931332312e7,4.132736931332312e7,4.232736931332312e7
20,-1.0e6,4.1326108170983806e7,4.1326108170983806e7,4.2326108170983806e7
21,-1.0e6,4.132487742208288e7,4.132487742208288e7,4.232487742208288e7
22,-1.0e6,4.132367497004263e7,4.132367497004263e7,4.232367497004263e7
23,-1.0e6,4.132249894874735e7,4.132249894874735e7,4.232249894874735e7
24,-1.0e6,4.132134768856824e7,4.132134768856824e7,4.232134768856824e7
25,-1.0e6,4.132021968856824e7,4.132021968856824e7,4.232021968856824e7
26,-1.0e6,4.131911359356606e7,4.131911359356606e7,4.231911359356606e7
27,-1.0e6,4.131802817505998e7,4.131802817505998e7,4.231802817505998e7
28,-1.0e6,4.13169623152461e7,4.13169623152461e7,4.23169623152461e7
29,-1.0e6,4.131591499353878e7,4.131591499353878e7,4.231591499353878e7
30,-1.0e6,4.1314885275130674e7,4.1314885275130674e7,4.2314885275130674e7
31,-1.0e6,4.1313872301227234e7,4.1313872301227234e7,4.2313872301227234e7
32,-1.0e6,4.131287528066576e7,4.131287528066576e7,4.231287528066576e7
33,-1.0e6,4.131189348268617e7,4.131189348268617e7,4.231189348268617e7
34,-1.0e6,4.1310926230665974e7,4.1310926230665974e7,4.2310926230665974e7
35,-1.0e6,4.130997289666664e7,4.130997289666664e7,4.230997289666664e7
36,-1.0e6,4.130903289666664e7,4.130903289666664e7,4.230903289666664e7
37,-1.0e6,4.130810568637823e7,4.130810568637823e7,4.230810568637823e7
38,-1.0e6,4.1307190757563055e7,4.1307190757563055e7,4.2307190757563055e7
39,-1.0e6,4.1306287634775594e7,4.1306287634775594e7,4.2306287634775594e7
40,-1.0e6,4.130539587247542e7,4.130539587247542e7,4.230539587247542e7
41,-1.0e6,4.1304515052458376e7,4.1304515052458376e7,4.2304515052458376e7
42,-1.0e6,4.1303644781564586e7,4.1303644781564586e7,4.2303644781564586e7
43,-1.0e6,4.1302784689627916e7,4.1302784689627916e7,4.2302784689627916e7
44,-1.0e6,4.1301934427636206e7,4.1301934427636206e7,4.2301934427636206e7
45,-1.0e6,4.130109366607666e7,4.130109366607666e7,4.230109366607666e7
46,-1.0e6,4.1300262093443945e7,4.1300262093443945e7,4.2300262093443945e7
47,-1.0e6,4.12994394148919e7,4.12994394148919e7,4.22994394148919e7
48,-1.0e6,4.129862535101234e7,4.129862535101234e7,4.229862535101234e7
49,-1.0e6,4.1297819636726625e7,4.1297819636726625e7,4.2297819636726625e7
50,-1.0e6,4.1297022020277455e7,4.1297022020277455e7,4.2297022020277455e7
51,-1.0e6,4.1296232262310065e7,4.1296232262310065e7,4.2296232262310065e7
52,-1.0e6,4.129545013503338e7,4.129545013503338e7,4.229545013503338e7
53,-1.0e6,4.1294675421452716e7,4.1294675421452716e7,4.2294675421452716e7
54,-1.0e6,4.1293907914666645e7,4.1293907914666645e7,4.2293907914666645e7
55,-1.0e6,4.1293147417221785e7,4.1293147417221785e7,4.2293147417221785e7
56,-1.0e6,4.129239374051959e7,4.129239374051959e7,4.229239374051959e7
57,-1.0e6,4.129164670427021e7,4.129164670427021e7,4.229164670427021e7
58,-1.0e6,4.1290906135988876e7,4.1290906135988876e7,4.2290906135988876e7
59,-1.0e6,4.129017187053094e7,4.129017187053094e7,4.229017187053094e7
60,-1.0e6,4.128944374966186e7,4.128944374966186e7,4.228944374966186e7
61,-1.0e6,4.128872162165903e7,4.128872162165903e7,4.228872162165903e7
62,-1.0e6,4.1288005340942755e7,4.1288005340942755e7,4.2288005340942755e7
63,-1.0e6,4.12872947677335e7,4.12872947677335e7,4.22872947677335e7
64,-1.0e6,4.12865897677335e7,4.12865897677335e7,4.22865897677335e7
65,-1.0e6,4.1285890211830415e7,4.1285890211830415e7,4.2285890211830415e7
66,-1.0e6,4.1285195975821294e7,4.1285195975821294e7,4.2285195975821294e7
