Iteration,LowerBound,UpperBound,OracleValue,Gap
1,-1.0e6,1.6796586635402777e11,1.6796586635402777e11,1.6796686635402777e11
2,-1.0e6,1.5523843530761884e11,1.5523843530761884e11,1.5523943530761884e11
3,-1.0e6,1.448465313742327e11,1.448465313742327e11,1.448475313742327e11
4,-1.0e6,1.3584687857423279e11,1.3584687857423279e11,1.3584787857423279e11
5,-1.0e6,1.2779734440035394e11,1.2779734440035394e11,1.2779834440035394e11
6,-1.0e6,1.2044915865961763e11,1.2044915865961763e11,1.2045015865961763e11
7,-1.0e6,1.136460606039814e11,1.136460606039814e11,1.136470606039814e11
8,-1.0e6,1.0728234508077681e11,1.0728234508077681e11,1.0728334508077681e11
9,-1.0e6,1.012825765474434e11,1.012825765474434e11,1.012835765474434e11
10,-1.0e6,9.559069634770103e10,9.559069634770103e10,9.559169634770103e10
11,-1.0e6,9.016370151477893e10,9.016370151477893e10,9.016470151477893e10
12,-1.0e6,8.496774954808588e10,8.496774954808588e10,8.496874954808588e10
13,-1.0e6,7.997564037396704e10,7.997564037396704e10,7.997664037396704e10
14,-1.0e6,7.516512360574983e10,7.516512360574983e10,7.516612360574983e10
15,-1.0e6,7.051961422694374e10,7.051961422694374e10,7.052061422694374e10
16,-1.0e6,6.607560547911364e10,6.607560547911364e10,6.607660547911364e10
17,-1.0e6,6.186464441143379e10,6.186464441143379e10,6.186564441143379e10
18,-1.0e6,5.7883420286170235e10,5.7883420286170235e10,5.7884420286170235e10
19,-1.0e6,5.407803284424335e10,5.407803284424335e10,5.407903284424335e10
20,-1.0e6,5.043247875963768e10,5.043247875963768e10,5.043347875963768e10
21,-1.0e6,4.695458832036875e10,4.695458832036875e10,4.695558832036875e10
22,-1.0e6,4.369915934366414e10,4.369915934366414e10,4.370015934366414e10
23,-1.0e6,4.065612483157456e10,4.065612483157456e10,4.065712483157456e10
24,-1.0e6,3.7807001754852844e10,3.7807001754852844e10,3.7808001754852844e10
25,-1.0e6,3.5123280876548676e10,3.5123280876548676e10,3.5124280876548676e10
26,-1.0e6,3.2549395749002914e10,3.2549395749002914e10,3.2550395749002914e10
27,-1.0e6,3.0084399366324078e10,3.0084399366324078e10,3.0085399366324078e10
28,-1.0e6,2.7754845780329624e10,2.7754845780329624e10,2.7755845780329624e10
29,-1.0e6,2.5506040447233673e10,2.5506040447233673e10,2.5507040447233673e10
30,-1.0e6,2.3358422285124077e10,2.3358422285124077e10,2.3359422285124077e10
31,-1.0e6,2.1352439747596626e10,2.1352439747596626e10,2.1353439747596626e10
32,-1.0e6,1.9460345042565548e10,1.9460345042565548e10,1.9461345042565548e10
33,-1.0e6,1.7652592848832596e10,1.7652592848832596e10,1.7653592848832596e10
34,-1.0e6,1.5968109079133867e10,1.5968109079133867e10,1.5969109079133867e10
35,-1.0e6,1.444066780002388e10,1.444066780002388e10,1.444166780002388e10
36,-1.0e6,1.3037489005744036e10,1.3037489005744036e10,1.3038489005744036e10
37,-1.0e6,1.17187146943577e10,1.17187146943577e10,1.17197146943577e10
38,-1.0e6,1.0528128248134464e10,1.0528128248134464e10,1.0529128248134464e10
39,-1.0e6,9.460086102224398e9,9.460086102224398e9,9.461086102224398e9
40,-1.0e6,8.462819840118805e9,8.462819840118805e9,8.463819840118805e9
41,-1.0e6,7.528570866772263e9,7.528570866772263e9,7.529570866772263e9
42,-1.0e6,6.662929848773061e9,6.662929848773061e9,6.663929848773061e9
43,-1.0e6,5.888356354783769e9,5.888356354783769e9,5.889356354783769e9
44,-1.0e6,5.200906514746805e9,5.200906514746805e9,5.201906514746805e9
45,-1.0e6,4.588775472402353e9,4.588775472402353e9,4.589775472402353e9
46,-1.0e6,4.0486560983735886e9,4.0486560983735886e9,4.0496560983735886e9
47,-1.0e6,3.5923446551395764e9,3.5923446551395764e9,3.5933446551395764e9
48,-1.0e6,3.2087987267698874e9,3.2087987267698874e9,3.2097987267698874e9
49,-1.0e6,2.864636730224456e9,2.864636730224456e9,2.865636730224456e9
50,-1.0e6,2.5541042730794635e9,2.5541042730794635e9,2.5551042730794635e9
51,-1.0e6,2.27621698654249e9,2.27621698654249e9,2.27721698654249e9
52,-1.0e6,2.0255749529909143e9,2.0255749529909143e9,2.0265749529909143e9
53,-1.0e6,1.8034181301296575e9,1.8034181301296575e9,1.8044181301296575e9
54,-1.0e6,1.61164597950829e9,1.61164597950829e9,1.61264597950829e9
55,-1.0e6,1.4457707760368285e9,1.4457707760368285e9,1.4467707760368285e9
56,-1.0e6,1.3043662818412595e9,1.3043662818412595e9,1.3053662818412595e9
57,-1.0e6,1.1781042238645778e9,1.1781042238645778e9,1.1791042238645778e9
58,-1.0e6,1.0650114083716295e9,1.0650114083716295e9,1.0660114083716295e9
59,-1.0e6,9.665610475299494e8,9.665610475299494e8,9.675610475299494e8
60,-1.0e6,8.803604281258358e8,8.803604281258358e8,8.813604281258358e8
61,-1.0e6,8.005128821193871e8,8.005128821193871e8,8.015128821193871e8
62,-1.0e6,7.245255997768427e8,7.245255997768427e8,7.255255997768427e8
63,-1.0e6,6.529735950939102e8,6.529735950939102e8,6.539735950939102e8
64,-1.0e6,5.904614859267275e8,5.904614859267275e8,5.914614859267275e8
65,-1.0e6,5.334195467180482e8,5.334195467180482e8,5.344195467180482e8
66,-1.0e6,4.821261690320814e8,4.821261690320814e8,4.831261690320814e8
67,-1.0e6,4.340312769059403e8,4.340312769059403e8,4.350312769059403e8
68,-1.0e6,3.891573464758209e8,3.891573464758209e8,3.901573464758209e8
69,-1.0e6,3.491903967671606e8,3.491903967671606e8,3.501903967671606e8
70,-1.0e6,3.118773117073422e8,3.118773117073422e8,3.128773117073422e8
71,-1.0e6,2.758175988665116e8,2.758175988665116e8,2.768175988665116e8
72,-1.0e6,2.4383751137501258e8,2.4383751137501258e8,2.4483751137501258e8
73,-1.0e6,2.154655278510844e8,2.154655278510844e8,2.164655278510844e8
74,-1.0e6,1.9072802594435105e8,1.9072802594435105e8,1.9172802594435105e8
75,-1.0e6,1.6762869457967803e8,1.6762869457967803e8,1.6862869457967803e8
76,-1.0e6,1.469293240749975e8,1.469293240749975e8,1.479293240749975e8
77,-1.0e6,1.277128974168956e8,1.277128974168956e8,1.287128974168956e8
78,-1.0e6,1.1173279050819948e8,1.1173279050819948e8,1.1273279050819948e8
79,-1.0e6,9.597643647502223e7,9.597643647502223e7,9.697643647502223e7
80,-1.0e6,8.08919091435363e7,8.08919091435363e7,8.18919091435363e7
81,-1.0e6,6.867188995761946e7,6.867188995761946e7,6.967188995761946e7
82,-1.0e6,5.86488654999999e7,5.86488654999999e7,5.96488654999999e7
83,-1.0e6,4.9439029475660786e7,4.9439029475660786e7,5.0439029475660786e7
84,-1.0e6,4.179640531514887e7,4.179640531514887e7,4.279640531514887e7
85,-1.0e6,3.442194438458322e7,3.442194438458322e7,3.542194438458322e7
86,-1.0e6,2.7947213601188086e7,2.7947213601188086e7,2.8947213601188086e7
87,-1.0e6,2.246269195050392e7,2.246269195050392e7,2.346269195050392e7
88,-1.0e6,1.8194070857660234e7,1.8194070857660234e7,1.9194070857660234e7
89,-1.0e6,1.394957667256992e7,1.394957667256992e7,1.494957667256992e7
90,-1.0e6,1.0413918307108765e7,1.0413918307108765e7,1.1413918307108765e7
91,-1.0e6,7.594439156162049e6,7.594439156162049e6,8.59443915616205e6
92,-1.0e6,6.54742432672526e6,6.54742432672526e6,7.54742432672526e6
93,-1.0e6,6.042617506578421e6,6.042617506578421e6,7.042617506578421e6
94,-1.0e6,6.042617506578421e6,6.068963978460113e6,7.042617506578421e6
95,-1.0e6,6.033947965616785e6,6.033947965616785e6,7.033947965616785e6
96,-1.0e6,6.029713882073786e6,6.029713882073786e6,7.029713882073786e6
97,-1.0e6,6.029713882073786e6,6.150090261134736e6,7.029713882073786e6
98,-1.0e6,6.021521789408179e6,6.021521789408179e6,7.021521789408179e6
99,-1.0e6,6.0174947830768805e6,6.0174947830768805e6,7.0174947830768805e6
100,-1.0e6,6.0174947830768805e6,6.230684111526325e6,7.0174947830768805e6
101,-1.0e6,6.00966340200094e6,6.00966340200094e6,7.00966340200094e6
102,-1.0e6,6.005778573494712e6,6.005778573494712e6,7.005778573494712e6
103,-1.0e6,6.005778573494712e6,6.310569964735907e6,7.005778573494712e6
104,-1.0e6,5.998210719769265e6,5.998210719769265e6,6.998210719769265e6
105,-1.0e6,5.994436024700052e6,5.994436024700052e6,6.994436024700052e6
