rho_target,rho_realized,C_1,C_2,C_12,savings,share_1,share_2,epsilon
-1.0000,-0.9450,66.945039,71.047196,89.575321,48.416914,0.477102,0.522898,24.208457
-0.9000,-0.8462,66.945039,65.451531,92.243289,40.153281,0.508095,0.491905,20.076640
-0.8000,-0.7330,66.945039,63.893854,100.898035,29.940859,0.515120,0.484880,14.970429
-0.7000,-0.6233,66.945039,64.515937,107.944368,23.516608,0.511252,0.488748,11.758304
-0.6000,-0.5193,66.945039,66.299300,113.753416,19.490923,0.502838,0.497162,9.745461
-0.5000,-0.4205,66.945039,70.801106,119.181084,18.565061,0.483823,0.516177,9.282531
-0.4000,-0.3258,66.945039,75.307231,123.687208,18.565061,0.466196,0.533804,9.282531
-0.3000,-0.2341,66.945039,78.785668,127.165646,18.565061,0.453444,0.546556,9.282531
-0.2000,-0.1443,66.945039,81.454209,129.834187,18.565061,0.444124,0.555876,9.282531
-0.1000,-0.0557,66.945039,83.474809,131.854787,18.565061,0.437318,0.562682,9.282531
0.0000,0.0323,66.945039,84.965215,133.345193,18.565061,0.432430,0.567570,9.282531
0.1000,0.1204,66.945039,86.006842,134.386820,18.565061,0.429079,0.570921,9.282531
0.2000,0.2090,66.945039,86.649340,135.029318,18.565061,0.427037,0.572963,9.282531
0.3000,0.2985,66.945039,86.911625,135.291603,18.565061,0.426209,0.573791,9.282531
0.4000,0.3894,66.945039,86.778198,135.158176,18.565061,0.426630,0.573370,9.282531
0.5000,0.4823,66.945039,86.187704,134.567682,18.565061,0.428502,0.571498,9.282531
0.6000,0.5777,66.945039,85.005972,135.616310,16.334701,0.433412,0.566588,8.167351
0.7000,0.6763,66.945039,82.961603,136.570638,13.336004,0.441362,0.558638,6.668002
0.8000,0.7789,66.945039,79.468384,136.694636,9.718786,0.454192,0.545808,4.859393
0.9000,0.8863,66.945039,72.947117,136.387130,3.505026,0.477996,0.522004,1.752513
1.0000,0.9988,66.945039,74.130354,141.075393,0.000000,0.474534,0.525466,0.000000
