hour,pv,wind
1,0.12,0.435
2,0.0,0.432
3,0.0,0.415
4,0.0,0.38
5,0.0,0.394
6,0.0,0.471
7,0.0,0.592
8,0.0,0.682
9,0.0,0.715
10,0.0,0.698
11,0.0,0.634
12,0.0,0.6
13,0.0,0.596
14,0.0,0.597
15,0.0,0.563
16,0.206,0.476
17,0.457,0.367
18,0.645,0.601
19,0.753,0.494
20,0.802,0.374
21,0.793,0.311
22,0.724,0.265
23,0.591,0.227
24,0.377,0.177
25,0.097,0.147
26,0.0,0.128
27,0.0,0.103
28,0.0,0.057
29,0.0,0.026
30,0.0,0.017
31,0.0,0.019
32,0.0,0.02
33,0.0,0.034
34,0.0,0.046
35,0.0,0.061
36,0.0,0.095
37,0.0,0.119
38,0.0,0.093
39,0.0,0.071
40,0.181,0.086
41,0.424,0.087
42,0.609,0.227
43,0.718,0.309
44,0.765,0.282
45,0.755,0.238
46,0.682,0.193
47,0.551,0.159
48,0.343,0.138
49,0.087,0.139
50,0.0,0.118
51,0.0,0.081
52,0.0,0.05
53,0.0,0.032
54,0.0,0.031
55,0.0,0.04
56,0.0,0.053
57,0.0,0.074
58,0.0,0.108
59,0.0,0.14
60,0.0,0.158
61,0.0,0.181
62,0.0,0.209
63,0.0,0.252
64,0.182,0.276
65,0.423,0.182
66,0.607,0.204
67,0.716,0.162
68,0.762,0.097
69,0.752,0.07
70,0.685,0.071
71,0.556,0.079
72,0.352,0.096
73,0.096,0.137
74,0.0,0.183
75,0.0,0.206
76,0.0,0.193
77,0.0,0.175
78,0.0,0.166
79,0.0,0.152
80,0.0,0.136
81,0.0,0.133
82,0.0,0.172
83,0.0,0.22
84,0.0,0.247
85,0.0,0.308
86,0.0,0.422
87,0.0,0.526
88,0.191,0.552
89,0.431,0.364
90,0.612,0.343
91,0.716,0.401
92,0.757,0.343
93,0.744,0.257
94,0.672,0.185
95,0.543,0.144
96,0.34,0.115
97,0.048,0.138
98,0.0,0.162
99,0.0,0.163
100,0.0,0.158
101,0.0,0.203
102,0.0,0.233
103,0.0,0.23
104,0.0,0.264
105,0.0,0.286
106,0.0,0.29
107,0.0,0.283
108,0.0,0.262
109,0.0,0.261
110,0.0,0.234
111,0.0,0.202
112,0.0,0.197
113,0.03,0.217
114,0.073,0.193
115,0.106,0.17
116,0.126,0.251
117,0.102,0.294
118,0.087,0.208
119,0.06,0.155
120,0.028,0.164
121,0.0,0.21
122,0.0,0.227
123,0.0,0.197
124,0.0,0.186
125,0.0,0.14
126,0.0,0.091
127,0.0,0.042
128,0.0,0.032
129,0.0,0.043
130,0.0,0.062
131,0.0,0.07
132,0.0,0.09
133,0.0,0.115
134,0.0,0.132
135,0.0,0.104
136,0.073,0.076
137,0.214,0.085
138,0.54,0.084
139,0.669,0.083
140,0.723,0.093
141,0.707,0.167
142,0.553,0.184
143,0.498,0.207
144,0.2,0.252
145,0.016,0.218
146,0.0,0.234
147,0.0,0.286
148,0.0,0.293
149,0.0,0.328
150,0.0,0.414
151,0.0,0.528
152,0.0,0.586
153,0.0,0.637
154,0.0,0.647
155,0.0,0.59
156,0.0,0.539
157,0.0,0.457
158,0.0,0.384
159,0.0,0.302
160,0.0,0.243
161,0.026,0.146
162,0.091,0.086
163,0.162,0.062
164,0.309,0.054
165,0.482,0.046
166,0.501,0.045
167,0.414,0.042
168,0.238,0.025
169,0.044,0.009
170,0.0,0.001
171,0.0,0.0
172,0.0,0.005
173,0.0,0.056
174,0.0,0.176
175,0.0,0.31
176,0.0,0.392
177,0.0,0.425
178,0.0,0.448
179,0.0,0.532
180,0.0,0.551
181,0.0,0.593
182,0.0,0.637
183,0.0,0.647
184,0.021,0.618
185,0.096,0.505
186,0.177,0.63
187,0.28,0.668
188,0.378,0.56
189,0.482,0.481
190,0.455,0.437
191,0.316,0.401
192,0.145,0.354
193,0.019,0.395
194,0.0,0.473
195,0.0,0.516
196,0.0,0.542
197,0.0,0.501
198,0.0,0.398
199,0.0,0.278
200,0.0,0.209
201,0.0,0.185
202,0.0,0.142
203,0.0,0.108
204,0.0,0.087
205,0.0,0.075
206,0.0,0.065
207,0.0,0.044
208,0.058,0.024
209,0.263,0.01
210,0.522,0.008
211,0.641,0.041
212,0.589,0.03
213,0.497,0.015
214,0.421,0.008
215,0.311,0.01
216,0.142,0.021
217,0.015,0.068
218,0.0,0.142
219,0.0,0.204
220,0.0,0.219
221,0.0,0.18
222,0.0,0.101
223,0.0,0.045
224,0.0,0.026
225,0.0,0.019
226,0.0,0.027
227,0.0,0.042
228,0.0,0.048
229,0.0,0.042
230,0.0,0.035
231,0.0,0.035
232,0.012,0.034
233,0.084,0.018
234,0.218,0.008
235,0.62,0.004
236,0.746,0.001
237,0.732,0.001
238,0.597,0.0
239,0.514,0.0
240,0.225,0.001
241,0.037,0.005
242,0.0,0.015
243,0.0,0.025
244,0.0,0.023
245,0.0,0.022
246,0.0,0.023
247,0.0,0.036
248,0.0,0.054
249,0.0,0.067
250,0.0,0.084
251,0.0,0.098
252,0.0,0.101
253,0.0,0.11
254,0.0,0.139
255,0.0,0.197
256,0.02,0.27
257,0.097,0.278
258,0.145,0.237
259,0.247,0.29
260,0.488,0.448
261,0.568,0.586
262,0.323,0.618
263,0.147,0.568
264,0.065,0.476
265,0.005,0.46
266,0.0,0.483
267,0.0,0.445
268,0.0,0.455
269,0.0,0.488
270,0.0,0.488
271,0.0,0.49
272,0.0,0.583
273,0.0,0.687
274,0.0,0.72
275,0.0,0.705
276,0.0,0.561
277,0.0,0.448
278,0.0,0.413
279,0.0,0.357
280,0.004,0.274
281,0.064,0.218
282,0.17,0.233
283,0.244,0.243
284,0.377,0.266
285,0.414,0.331
286,0.441,0.393
287,0.378,0.437
288,0.233,0.425
289,0.04,0.339
290,0.0,0.362
291,0.0,0.312
292,0.0,0.22
293,0.0,0.134
294,0.0,0.078
295,0.0,0.038
296,0.0,0.019
297,0.0,0.012
298,0.0,0.011
299,0.0,0.016
300,0.0,0.028
301,0.0,0.035
302,0.0,0.041
303,0.0,0.065
304,0.154,0.136
305,0.341,0.153
306,0.326,0.256
307,0.373,0.467
308,0.665,0.527
309,0.63,0.526
310,0.399,0.503
311,0.216,0.46
312,0.078,0.391
313,0.006,0.392
314,0.0,0.494
315,0.0,0.592
316,0.0,0.667
317,0.0,0.684
318,0.0,0.684
319,0.0,0.676
320,0.0,0.648
321,0.0,0.7
322,0.0,0.746
323,0.0,0.788
324,0.0,0.813
325,0.0,0.818
326,0.0,0.835
327,0.0,0.86
328,0.023,0.872
329,0.125,0.861
330,0.266,0.923
331,0.257,0.959
332,0.112,0.924
333,0.141,0.845
334,0.116,0.812
335,0.071,0.714
336,0.026,0.545
337,0.0,0.444
338,0.0,0.383
339,0.0,0.294
340,0.0,0.214
341,0.0,0.183
342,0.0,0.187
343,0.0,0.194
344,0.0,0.191
345,0.0,0.179
346,0.0,0.154
347,0.0,0.141
348,0.0,0.152
349,0.0,0.17
350,0.0,0.188
351,0.0,0.203
352,0.009,0.197
353,0.099,0.201
354,0.265,0.311
355,0.34,0.414
356,0.24,0.48
357,0.126,0.516
358,0.105,0.555
359,0.067,0.558
360,0.044,0.516
361,0.0,0.447
362,0.0,0.417
363,0.0,0.432
364,0.0,0.349
365,0.0,0.264
366,0.0,0.18
367,0.0,0.137
368,0.0,0.145
369,0.0,0.159
370,0.0,0.139
371,0.0,0.14
372,0.0,0.127
373,0.0,0.121
374,0.0,0.127
375,0.0,0.137
376,0.017,0.144
377,0.07,0.145
378,0.212,0.217
379,0.556,0.313
380,0.621,0.376
381,0.606,0.442
382,0.464,0.513
383,0.215,0.555
384,0.115,0.503
385,0.011,0.355
386,0.0,0.416
387,0.0,0.491
388,0.0,0.422
389,0.0,0.476
390,0.0,0.563
391,0.0,0.586
392,0.0,0.568
393,0.0,0.593
394,0.0,0.64
395,0.0,0.669
396,0.0,0.712
397,0.0,0.71
398,0.0,0.695
399,0.0,0.672
400,0.002,0.644
401,0.086,0.535
402,0.095,0.438
403,0.154,0.502
404,0.234,0.566
405,0.415,0.655
406,0.17,0.698
407,0.112,0.568
408,0.046,0.455
409,0.001,0.37
410,0.0,0.341
411,0.0,0.358
412,0.0,0.361
413,0.0,0.415
414,0.0,0.361
415,0.0,0.369
416,0.0,0.335
417,0.0,0.316
418,0.0,0.311
419,0.0,0.347
420,0.0,0.311
421,0.0,0.321
422,0.0,0.309
423,0.0,0.242
424,0.038,0.182
425,0.299,0.15
426,0.581,0.234
427,0.687,0.218
428,0.721,0.148
429,0.719,0.097
430,0.653,0.078
431,0.513,0.086
432,0.329,0.076
433,0.077,0.042
434,0.0,0.023
435,0.0,0.008
436,0.0,0.006
437,0.0,0.008
438,0.0,0.014
439,0.0,0.034
440,0.0,0.069
441,0.0,0.106
442,0.0,0.127
443,0.0,0.113
444,0.0,0.085
445,0.0,0.07
446,0.0,0.076
447,0.0,0.089
448,0.221,0.093
449,0.397,0.055
450,0.515,0.049
451,0.594,0.072
452,0.63,0.034
453,0.623,0.014
454,0.554,0.011
455,0.448,0.01
456,0.279,0.011
457,0.039,0.015
458,0.0,0.014
459,0.0,0.009
460,0.0,0.005
461,0.0,0.002
462,0.0,0.001
463,0.0,0.003
464,0.0,0.007
465,0.0,0.01
466,0.0,0.015
467,0.0,0.021
468,0.0,0.017
469,0.0,0.011
470,0.0,0.006
471,0.0,0.003
472,0.055,0.001
473,0.152,0.0
474,0.245,0.0
475,0.34,0.004
476,0.353,0.069
477,0.289,0.151
478,0.213,0.169
479,0.136,0.138
480,0.083,0.133
481,0.017,0.147
482,0.0,0.161
483,0.0,0.225
484,0.0,0.323
485,0.0,0.43
486,0.0,0.635
487,0.0,0.828
488,0.0,0.851
489,0.0,0.854
490,0.0,0.895
491,0.0,0.939
492,0.0,0.932
493,0.0,0.885
494,0.0,0.851
495,0.0,0.822
496,0.069,0.78
497,0.245,0.879
498,0.388,0.941
499,0.549,0.955
500,0.673,0.945
501,0.711,0.935
502,0.659,0.933
503,0.532,0.933
504,0.332,0.93
505,0.066,0.881
506,0.0,0.85
507,0.0,0.856
508,0.0,0.847
509,0.0,0.77
510,0.0,0.615
511,0.0,0.434
512,0.0,0.319
513,0.0,0.265
514,0.0,0.237
515,0.0,0.209
516,0.0,0.193
517,0.0,0.213
518,0.0,0.233
519,0.0,0.244
520,0.282,0.209
521,0.485,0.147
522,0.66,0.404
523,0.762,0.556
524,0.807,0.59
525,0.795,0.559
526,0.72,0.506
527,0.585,0.439
528,0.377,0.3
529,0.098,0.17
530,0.0,0.114
531,0.0,0.094
532,0.0,0.083
533,0.0,0.078
534,0.0,0.072
535,0.0,0.055
536,0.0,0.034
537,0.0,0.019
538,0.0,0.011
539,0.0,0.006
540,0.0,0.003
541,0.0,0.001
542,0.0,0.0
543,0.0,0.0
544,0.25,0.0
545,0.445,0.001
546,0.62,0.001
547,0.722,0.0
548,0.767,0.0
549,0.755,0.0
550,0.686,0.0
551,0.559,0.002
552,0.361,0.008
553,0.097,0.015
554,0.0,0.019
555,0.0,0.015
556,0.0,0.017
557,0.0,0.03
558,0.0,0.054
559,0.0,0.083
560,0.0,0.097
561,0.0,0.106
562,0.0,0.12
563,0.0,0.152
564,0.0,0.243
565,0.0,0.358
566,0.0,0.422
567,0.0,0.444
568,0.219,0.356
569,0.458,0.23
570,0.611,0.467
571,0.689,0.544
572,0.753,0.444
573,0.757,0.328
574,0.693,0.264
575,0.566,0.227
576,0.368,0.176
577,0.103,0.125
578,0.0,0.099
579,0.0,0.084
580,0.0,0.065
581,0.0,0.045
582,0.0,0.061
583,0.0,0.087
584,0.0,0.102
585,0.0,0.12
586,0.0,0.149
587,0.0,0.176
588,0.0,0.193
589,0.0,0.202
590,0.0,0.188
591,0.0,0.177
592,0.242,0.161
593,0.478,0.096
594,0.643,0.087
595,0.738,0.055
596,0.777,0.02
597,0.763,0.024
598,0.696,0.019
599,0.569,0.017
600,0.372,0.013
601,0.103,0.017
602,0.0,0.013
603,0.0,0.015
604,0.0,0.021
605,0.0,0.028
606,0.0,0.018
607,0.0,0.004
608,0.0,0.003
609,0.0,0.005
610,0.0,0.005
611,0.0,0.009
612,0.0,0.021
613,0.0,0.059
614,0.0,0.13
615,0.0,0.231
616,0.21,0.305
617,0.455,0.278
618,0.621,0.356
619,0.717,0.672
620,0.756,0.627
621,0.679,0.501
622,0.554,0.412
623,0.441,0.3
624,0.215,0.133
625,0.052,0.06
626,0.0,0.023
627,0.0,0.009
628,0.0,0.005
629,0.0,0.006
630,0.0,0.014
631,0.0,0.034
632,0.0,0.048
633,0.0,0.058
634,0.0,0.078
635,0.0,0.095
636,0.0,0.106
637,0.0,0.112
638,0.0,0.12
639,0.0,0.125
640,0.064,0.124
641,0.196,0.088
642,0.347,0.073
643,0.498,0.075
644,0.613,0.031
645,0.638,0.003
646,0.578,0.0
647,0.455,0.0
648,0.276,0.001
649,0.062,0.001
650,0.0,0.0
651,0.0,0.0
652,0.0,0.0
653,0.0,0.001
654,0.0,0.003
655,0.0,0.011
656,0.0,0.035
657,0.0,0.07
658,0.0,0.089
659,0.0,0.091
660,0.0,0.082
661,0.0,0.068
662,0.0,0.055
663,0.0,0.043
664,0.01,0.032
665,0.054,0.037
666,0.091,0.059
667,0.122,0.098
668,0.166,0.14
669,0.268,0.124
670,0.458,0.147
671,0.387,0.152
672,0.232,0.08
673,0.057,0.051
674,0.0,0.065
675,0.0,0.047
676,0.0,0.019
677,0.0,0.022
678,0.0,0.022
679,0.0,0.012
680,0.0,0.006
681,0.0,0.006
682,0.0,0.008
683,0.0,0.006
684,0.0,0.004
685,0.0,0.002
686,0.0,0.0
687,0.0,0.0
688,0.116,0.001
689,0.249,0.006
690,0.401,0.007
691,0.665,0.013
692,0.666,0.018
693,0.381,0.033
694,0.223,0.07
695,0.138,0.1
696,0.097,0.107
697,0.032,0.098
698,0.0,0.096
699,0.0,0.09
700,0.0,0.068
701,0.0,0.044
702,0.0,0.031
703,0.0,0.031
704,0.0,0.03
705,0.0,0.027
706,0.0,0.028
707,0.0,0.03
708,0.0,0.026
709,0.0,0.02
710,0.0,0.014
711,0.0,0.021
712,0.037,0.045
713,0.16,0.048
714,0.319,0.061
715,0.496,0.09
716,0.644,0.062
717,0.703,0.029
718,0.651,0.015
719,0.527,0.008
720,0.325,0.005
721,0.067,0.01
722,0.0,0.015
723,0.0,0.014
724,0.0,0.019
725,0.0,0.044
726,0.0,0.03
727,0.0,0.016
728,0.0,0.015
729,0.0,0.022
730,0.0,0.024
731,0.0,0.018
732,0.0,0.017
733,0.0,0.027
734,0.0,0.05
735,0.0,0.097
736,0.052,0.168
737,0.215,0.231
738,0.363,0.334
739,0.339,0.413
740,0.318,0.395
741,0.2,0.295
742,0.129,0.167
743,0.113,0.092
744,0.153,0.107
745,0.081,0.094
746,0.0,0.102
747,0.0,0.109
748,0.0,0.133
749,0.0,0.149
750,0.0,0.145
751,0.0,0.12
752,0.0,0.118
753,0.0,0.118
754,0.0,0.079
755,0.0,0.05
756,0.0,0.058
757,0.0,0.078
758,0.0,0.099
759,0.0,0.088
760,0.123,0.083
761,0.299,0.079
762,0.342,0.195
763,0.258,0.312
764,0.222,0.345
765,0.228,0.325
766,0.251,0.29
767,0.248,0.275
768,0.215,0.274
769,0.033,0.233
770,0.0,0.18
771,0.0,0.125
772,0.0,0.137
773,0.0,0.182
774,0.0,0.276
775,0.0,0.352
776,0.0,0.457
777,0.0,0.539
778,0.0,0.61
779,0.0,0.63
780,0.0,0.658
781,0.0,0.697
782,0.0,0.806
783,0.0,0.86
784,0.026,0.909
785,0.119,0.958
786,0.203,0.976
787,0.274,0.987
788,0.266,0.986
789,0.428,0.988
790,0.372,0.932
791,0.266,0.746
792,0.291,0.516
793,0.035,0.302
794,0.0,0.205
795,0.0,0.24
796,0.0,0.272
797,0.0,0.314
798,0.0,0.334
799,0.0,0.367
800,0.0,0.484
801,0.0,0.54
802,0.0,0.618
803,0.0,0.672
804,0.0,0.645
805,0.0,0.581
806,0.0,0.467
807,0.0,0.442
808,0.043,0.424
809,0.095,0.414
810,0.172,0.427
811,0.244,0.43
812,0.324,0.501
813,0.374,0.544
814,0.437,0.547
815,0.38,0.523
816,0.229,0.432
817,0.032,0.272
818,0.0,0.231
819,0.0,0.196
820,0.0,0.189
821,0.0,0.181
822,0.0,0.174
823,0.0,0.165
824,0.0,0.176
825,0.0,0.197
826,0.0,0.249
827,0.0,0.304
828,0.0,0.398
829,0.0,0.46
830,0.0,0.482
831,0.0,0.532
832,0.039,0.552
833,0.089,0.619
834,0.219,0.662
835,0.39,0.774
836,0.529,0.852
837,0.598,0.889
838,0.565,0.898
839,0.454,0.88
840,0.279,0.836
841,0.077,0.61
842,0.0,0.436
843,0.0,0.407
844,0.0,0.481
845,0.0,0.502
846,0.0,0.464
847,0.0,0.454
848,0.0,0.491
849,0.0,0.557
850,0.0,0.594
851,0.0,0.467
852,0.0,0.337
853,0.0,0.292
854,0.0,0.272
855,0.0,0.268
856,0.049,0.26
857,0.169,0.53
858,0.299,0.678
859,0.432,0.733
860,0.488,0.768
861,0.443,0.773
862,0.403,0.767
863,0.264,0.731
864,0.154,0.655
865,0.033,0.473
866,0.0,0.299
867,0.0,0.27
868,0.0,0.267
869,0.0,0.292
870,0.0,0.323
871,0.0,0.328
872,0.0,0.32
873,0.0,0.315
874,0.0,0.264
875,0.0,0.233
876,0.0,0.272
877,0.0,0.288
878,0.0,0.302
879,0.0,0.309
880,0.08,0.336
881,0.462,0.559
882,0.656,0.63
883,0.755,0.606
884,0.822,0.539
885,0.832,0.469
886,0.759,0.472
887,0.627,0.494
888,0.422,0.506
889,0.152,0.447
890,0.0,0.377
891,0.0,0.332
892,0.0,0.311
893,0.0,0.281
894,0.0,0.215
895,0.0,0.142
896,0.0,0.094
897,0.0,0.076
898,0.0,0.068
899,0.0,0.094
900,0.0,0.162
901,0.0,0.264
902,0.0,0.319
903,0.0,0.347
904,0.267,0.291
905,0.512,0.352
906,0.685,0.422
907,0.789,0.358
908,0.825,0.291
909,0.802,0.225
910,0.71,0.159
911,0.583,0.093
912,0.335,0.058
913,0.105,0.06
914,0.0,0.088
915,0.0,0.147
916,0.0,0.237
917,0.0,0.319
918,0.0,0.347
919,0.0,0.305
920,0.0,0.25
921,0.0,0.195
922,0.0,0.16
923,0.0,0.155
924,0.0,0.159
925,0.0,0.155
926,0.0,0.148
927,0.0,0.141
928,0.261,0.116
929,0.503,0.071
930,0.671,0.069
931,0.776,0.032
932,0.82,0.018
933,0.806,0.026
934,0.732,0.058
935,0.601,0.106
936,0.402,0.139
937,0.132,0.159
938,0.0,0.225
939,0.0,0.251
940,0.0,0.207
941,0.0,0.159
942,0.0,0.127
943,0.0,0.138
944,0.0,0.125
945,0.0,0.09
946,0.0,0.073
947,0.0,0.098
948,0.0,0.13
949,0.0,0.137
950,0.0,0.125
951,0.0,0.101
952,0.028,0.086
953,0.085,0.144
954,0.405,0.266
955,0.623,0.328
956,0.678,0.347
957,0.677,0.355
958,0.625,0.355
959,0.521,0.321
960,0.357,0.286
961,0.103,0.207
962,0.0,0.182
963,0.0,0.174
964,0.0,0.162
965,0.0,0.188
966,0.0,0.208
967,0.0,0.203
968,0.0,0.179
969,0.0,0.165
970,0.0,0.15
971,0.0,0.158
972,0.0,0.177
973,0.0,0.194
974,0.0,0.23
975,0.0,0.308
976,0.063,0.312
977,0.162,0.547
978,0.206,0.784
979,0.309,0.903
980,0.28,0.947
981,0.25,0.955
982,0.272,0.946
983,0.351,0.921
984,0.241,0.898
985,0.09,0.811
986,0.0,0.678
987,0.0,0.596
988,0.0,0.562
989,0.0,0.479
990,0.0,0.376
991,0.0,0.35
992,0.0,0.294
993,0.0,0.236
994,0.0,0.183
995,0.0,0.164
996,0.0,0.141
997,0.0,0.127
998,0.0,0.132
999,0.0,0.113
1000,0.152,0.054
1001,0.409,0.013
1002,0.711,0.002
1003,0.816,0.002
1004,0.857,0.001
1005,0.842,0.0
1006,0.772,0.0
1007,0.644,0.0
1008,0.448,0.0
1009,0.182,0.015
1010,0.0,0.025
1011,0.0,0.009
1012,0.0,0.002
1013,0.0,0.015
1014,0.0,0.07
1015,0.0,0.162
1016,0.0,0.181
1017,0.0,0.24
1018,0.0,0.323
1019,0.0,0.383
1020,0.0,0.512
1021,0.0,0.557
1022,0.0,0.571
1023,0.003,0.607
1024,0.255,0.484
1025,0.495,0.415
1026,0.63,0.506
1027,0.701,0.529
1028,0.778,0.606
1029,0.811,0.532
1030,0.711,0.456
1031,0.517,0.323
1032,0.23,0.212
1033,0.04,0.183
1034,0.0,0.379
1035,0.0,0.498
1036,0.0,0.542
1037,0.0,0.491
1038,0.0,0.352
