month,month_name,T,rho_hat,mean_cf_pv,mean_cf_wind,C_1,C_2,C_12,savings,share_1,share_2,epsilon
1,Jan,744,0.02836063949358574,0.14428494623655913,0.23625940860215058,72.63000000000001,95.89999999999999,160.13,8.400000000000006,0.42734028601761076,0.5726597139823892,4.200000000000003
2,Feb,672,0.05162695312849591,0.16580654761904762,0.2888630952380953,78.48,98.8,151.17,26.110000000000014,0.4327908976648806,0.5672091023351193,13.055000000000007
3,Mar,744,0.12184447986662335,0.21669758064516131,0.23688844086021507,79.92,92.80000000000001,151.44,21.28000000000003,0.4574749075541469,0.5425250924458531,10.64
4,Apr,720,0.06767751554862879,0.22846388888888886,0.2576638888888889,77.49,99.0,173.41,3.0800000000000125,0.4379793552851623,0.5620206447148377,1.5400000000000063
5,May,744,0.03503426535563617,0.2269838709677419,0.223497311827957,73.17,89.9,153.2,9.870000000000005,0.4453981723237597,0.5546018276762402,4.9350000000000165
6,Jun,720,0.00929792512472916,0.24268333333333333,0.18594861111111108,68.94,93.2,150.52,11.619999999999976,0.4194127026308796,0.5805872973691204,5.809999999999995
7,Jul,744,-0.1289603448651816,0.23743817204301082,0.20033870967741937,68.13,65.0,126.41,6.719999999999999,0.5123803496558816,0.48761965034411836,3.3599999999999994
8,Aug,744,-0.24266529814026355,0.24327956989247315,0.15651209677419353,70.02,57.599999999999994,108.51,19.109999999999985,0.5572297484102847,0.4427702515897152,9.554999999999993
9,Sep,720,0.14106708975623602,0.23180277777777777,0.20696388888888903,74.97,76.5,143.07,8.400000000000006,0.4946529670790522,0.5053470329209478,4.200000000000003
10,Oct,744,0.03258133834261936,0.23593817204301065,0.27372849462365595,75.96,97.89999999999999,172.59999999999997,1.2600000000000193,0.4364426419466976,0.5635573580533024,0.6300000000000097
11,Nov,720,0.22339210096957857,0.17458888888888893,0.12473749999999999,72.09,99.1,169.09,2.0999999999999943,0.42013129102844643,0.5798687089715536,1.0499999999999972
12,Dec,744,0.027389934506422912,0.1210483870967742,0.2897997311827957,68.85,94.39999999999999,147.71000000000004,15.539999999999964,0.4135129645927832,0.5864870354072168,7.769999999999975
