hour,industrial,residential,flat
1,0.1,0.12,0.35
2,0.1,0.12,0.35
3,0.1,0.12,0.35
4,0.1,0.12,0.35
5,0.1,0.12,0.35
6,0.1,0.12,0.35
7,0.1,0.12,0.35
8,0.1,0.55,0.35
9,0.75,0.55,0.35
10,0.75,0.3,0.35
11,0.75,0.3,0.35
12,0.75,0.3,0.35
13,0.75,0.3,0.35
14,0.75,0.3,0.35
15,0.75,0.3,0.35
16,0.75,0.3,0.35
17,0.75,0.3,0.35
18,0.75,0.3,0.35
19,0.1,0.85,0.35
20,0.1,0.85,0.35
21,0.1,0.85,0.35
22,0.1,0.85,0.35
23,0.1,0.12,0.35
24,0.1,0.12,0.35
25,0.1,0.12,0.35
26,0.1,0.12,0.35
27,0.1,0.12,0.35
28,0.1,0.12,0.35
29,0.1,0.12,0.35
30,0.1,0.12,0.35
31,0.1,0.12,0.35
32,0.1,0.55,0.35
33,0.75,0.55,0.35
34,0.75,0.3,0.35
35,0.75,0.3,0.35
36,0.75,0.3,0.35
37,0.75,0.3,0.35
38,0.75,0.3,0.35
39,0.75,0.3,0.35
40,0.75,0.3,0.35
41,0.75,0.3,0.35
42,0.75,0.3,0.35
43,0.1,0.85,0.35
44,0.1,0.85,0.35
45,0.1,0.85,0.35
46,0.1,0.85,0.35
47,0.1,0.12,0.35
48,0.1,0.12,0.35
49,0.1,0.12,0.35
50,0.1,0.12,0.35
51,0.1,0.12,0.35
52,0.1,0.12,0.35
53,0.1,0.12,0.35
54,0.1,0.12,0.35
55,0.1,0.12,0.35
56,0.1,0.55,0.35
57,0.75,0.55,0.35
58,0.75,0.3,0.35
59,0.75,0.3,0.35
60,0.75,0.3,0.35
61,0.75,0.3,0.35
62,0.75,0.3,0.35
63,0.75,0.3,0.35
64,0.75,0.3,0.35
65,0.75,0.3,0.35
66,0.75,0.3,0.35
67,0.1,0.85,0.35
68,0.1,0.85,0.35
69,0.1,0.85,0.35
70,0.1,0.85,0.35
71,0.1,0.12,0.35
72,0.1,0.12,0.35
73,0.1,0.12,0.35
74,0.1,0.12,0.35
75,0.1,0.12,0.35
76,0.1,0.12,0.35
77,0.1,0.12,0.35
78,0.1,0.12,0.35
79,0.1,0.12,0.35
80,0.1,0.55,0.35
81,0.75,0.55,0.35
82,0.75,0.3,0.35
83,0.75,0.3,0.35
84,0.75,0.3,0.35
85,0.75,0.3,0.35
86,0.75,0.3,0.35
87,0.75,0.3,0.35
88,0.75,0.3,0.35
89,0.75,0.3,0.35
90,0.75,0.3,0.35
91,0.1,0.85,0.35
92,0.1,0.85,0.35
93,0.1,0.85,0.35
94,0.1,0.85,0.35
95,0.1,0.12,0.35
96,0.1,0.12,0.35
97,0.1,0.12,0.35
98,0.1,0.12,0.35
99,0.1,0.12,0.35
100,0.1,0.12,0.35
101,0.1,0.12,0.35
102,0.1,0.12,0.35
103,0.1,0.12,0.35
104,0.1,0.55,0.35
105,0.75,0.55,0.35
106,0.75,0.3,0.35
107,0.75,0.3,0.35
108,0.75,0.3,0.35
109,0.75,0.3,0.35
110,0.75,0.3,0.35
111,0.75,0.3,0.35
112,0.75,0.3,0.35
113,0.75,0.3,0.35
114,0.75,0.3,0.35
115,0.1,0.85,0.35
116,0.1,0.85,0.35
117,0.1,0.85,0.35
118,0.1,0.85,0.35
119,0.1,0.12,0.35
120,0.1,0.12,0.35
121,0.1,0.12,0.35
122,0.1,0.12,0.35
123,0.1,0.12,0.35
124,0.1,0.12,0.35
125,0.1,0.12,0.35
126,0.1,0.12,0.35
127,0.1,0.12,0.35
128,0.1,0.55,0.35
129,0.75,0.55,0.35
130,0.75,0.3,0.35
131,0.75,0.3,0.35
132,0.75,0.3,0.35
133,0.75,0.3,0.35
134,0.75,0.3,0.35
135,0.75,0.3,0.35
136,0.75,0.3,0.35
137,0.75,0.3,0.35
138,0.75,0.3,0.35
139,0.1,0.85,0.35
140,0.1,0.85,0.35
141,0.1,0.85,0.35
142,0.1,0.85,0.35
143,0.1,0.12,0.35
144,0.1,0.12,0.35
145,0.1,0.12,0.35
146,0.1,0.12,0.35
147,0.1,0.12,0.35
148,0.1,0.12,0.35
149,0.1,0.12,0.35
150,0.1,0.12,0.35
151,0.1,0.12,0.35
152,0.1,0.55,0.35
153,0.75,0.55,0.35
154,0.75,0.3,0.35
155,0.75,0.3,0.35
156,0.75,0.3,0.35
157,0.75,0.3,0.35
158,0.75,0.3,0.35
159,0.75,0.3,0.35
160,0.75,0.3,0.35
161,0.75,0.3,0.35
162,0.75,0.3,0.35
163,0.1,0.85,0.35
164,0.1,0.85,0.35
165,0.1,0.85,0.35
166,0.1,0.85,0.35
167,0.1,0.12,0.35
168,0.1,0.12,0.35
