month,T,demand_1,demand_2,demand_scale,sc_1,sc_2,C1,C2,C12,savings,share_1,share_2,eps,month_name
1,744,none,none,0.0,0.0,0.0,72.63000000000001,95.89999999999999,160.13,8.400000000000006,0.42734028601761076,0.5726597139823892,4.200000000000003,Jan
2,672,none,none,0.0,0.0,0.0,78.48,98.8,151.17,26.110000000000014,0.4327908976648806,0.5672091023351193,13.055000000000007,Feb
3,744,none,none,0.0,0.0,0.0,79.92,92.80000000000001,151.44,21.28000000000003,0.4574749075541469,0.5425250924458531,10.64,Mar
4,720,none,none,0.0,0.0,0.0,77.49,99.0,173.41,3.0800000000000125,0.4379793552851623,0.5620206447148377,1.5400000000000063,Apr
5,744,none,none,0.0,0.0,0.0,73.17,89.9,153.2,9.870000000000005,0.4453981723237597,0.5546018276762402,4.9350000000000165,May
6,720,none,none,0.0,0.0,0.0,68.94,93.2,150.52,11.619999999999976,0.4194127026308796,0.5805872973691204,5.809999999999995,Jun
7,744,none,none,0.0,0.0,0.0,68.13,65.0,126.41,6.719999999999999,0.5123803496558816,0.48761965034411836,3.3599999999999994,Jul
8,744,none,none,0.0,0.0,0.0,70.02,57.599999999999994,108.51,19.109999999999985,0.5572297484102847,0.4427702515897152,9.554999999999993,Aug
9,720,none,none,0.0,0.0,0.0,74.97,76.5,143.07,8.400000000000006,0.4946529670790522,0.5053470329209478,4.200000000000003,Sep
10,744,none,none,0.0,0.0,0.0,75.96,97.89999999999999,172.59999999999997,1.2600000000000193,0.4364426419466976,0.5635573580533024,0.6300000000000097,Oct
11,720,none,none,0.0,0.0,0.0,72.09,99.1,169.09,2.0999999999999943,0.42013129102844643,0.5798687089715536,1.0499999999999972,Nov
12,744,none,none,0.0,0.0,0.0,68.85,94.39999999999999,147.71000000000004,15.539999999999964,0.4135129645927832,0.5864870354072168,7.769999999999975,Dec
