month,T,demand_1,demand_2,demand_scale,sc_1,sc_2,C1,C2,C12,savings,share_1,share_2,eps,month_name
1,744,industrial,residential,0.5,0.2723385624324627,0.4503547107983411,68.13,87.3,136.18,19.25,0.42961521515641066,0.5703847848435895,9.624999999999993,Jan
2,672,industrial,residential,0.5,0.26418481089910434,0.4271415030188136,73.97999999999999,90.19999999999999,130.57999999999998,33.599999999999994,0.4378924797059274,0.5621075202940726,16.799999999999997,Feb
3,744,industrial,residential,0.5,0.2480787480694441,0.47154812902493703,75.42,86.80000000000001,134.5,27.720000000000027,0.4576951672862453,0.5423048327137546,13.860000000000007,Mar
4,720,industrial,residential,0.5,0.25805196542123116,0.42230942550049055,72.99,93.0,152.61999999999998,13.370000000000033,0.43444502686410685,0.5655549731358931,6.6850000000000165,Apr
5,744,industrial,residential,0.5,0.27756460361448637,0.4361205662669442,68.66999999999999,83.89999999999999,137.8,14.769999999999982,0.4447387518142235,0.5552612481857766,7.384999999999984,May
6,720,industrial,residential,0.5,0.2881155140443651,0.5129329339796689,64.44,78.2,126.4,16.23999999999998,0.44556962025316454,0.5544303797468355,8.119999999999997,Jun
7,744,industrial,residential,0.5,0.2833278612428815,0.5047097657193461,63.629999999999995,58.80000000000001,108.42999999999998,14.000000000000028,0.5222724338282763,0.47772756617172374,7.000000000000014,Jul
8,744,industrial,residential,0.5,0.27320994475138116,0.569032590493366,65.52,43.4,87.64,21.279999999999987,0.6261980830670926,0.37380191693290743,10.64,Aug
9,720,industrial,residential,0.5,0.2697036513319512,0.501832042626867,70.47,70.5,125.57,15.400000000000006,0.4998805447160946,0.5001194552839054,7.700000000000003,Sep
10,744,industrial,residential,0.5,0.244476979343504,0.36393098097754034,71.46,88.1,143.74,15.819999999999993,0.44211771253652427,0.5578822874634757,7.9099999999999895,Oct
11,720,industrial,residential,0.5,0.25654712658308393,0.6043023683067775,67.59,93.0,145.32999999999998,15.26000000000002,0.41257827014381065,0.5874217298561893,7.63000000000001,Nov
12,744,industrial,residential,0.5,0.26085942704863424,0.40279484812927,64.35,88.39999999999999,117.11999999999999,35.63000000000001,0.3973275273224044,0.6026724726775956,17.814999999999998,Dec
