scenario,profit_qdr0,profit_qdr5,in_tail_qdr0,in_tail_qdr5
2015-06,74577.45559803903,82385.4764890563,false,false
2015-07,98722.05342461687,107930.15431316059,false,false
2015-08,85485.64702920335,101268.05793358474,false,false
2015-09,86865.86240528538,95114.813741636,false,false
2016-06,59336.063148300134,67836.67930126282,false,false
2016-07,95285.42067840649,105018.92285487581,false,false
2016-08,74358.74940237621,86655.58188101632,false,false
2016-09,84881.99115522364,96021.71335729158,false,false
2017-06,89517.47209668698,98229.20098544429,false,false
2017-07,90137.65849267798,98488.8253817734,false,false
2017-08,73743.86531259514,82708.111952145,false,false
2017-09,85414.00352031324,94389.55095021534,false,false
2018-06,152484.39941523602,165280.70974128033,false,false
2018-07,137069.62249484754,160264.77474578007,false,false
2018-08,132378.89843592382,148021.23457510353,false,false
2018-09,73010.6557699667,82865.38960786082,false,false
2019-06,109750.02357995728,122477.71997589125,false,false
2019-07,125009.35794215288,140816.7451474797,false,false
2019-08,371041.9061217949,506423.36084474594,false,false
2019-09,134217.1381043611,170544.51182168303,false,false
2020-06,110150.51823343037,119842.43719826786,false,false
2020-07,111182.64010258,120976.63754649942,false,false
2020-08,115681.73399148627,135096.33355756398,false,false
2020-09,74760.23368393767,86802.93674922241,false,false
2021-06,106400.12874540016,127391.10246032946,false,false
2021-07,77043.73681958571,88952.92553614255,false,false
2021-08,101008.7087458947,108849.18906608429,false,false
2021-09,102278.45389866944,108791.49090991271,false,false
2022-06,167218.73738204225,170479.31686112197,false,false
2022-07,270873.63347781496,355654.4213835931,false,false
2022-08,59336.06314830002,67836.67930126279,true,true
2022-09,53012.56257120773,57928.93545629337,true,true
2023-06,153413.07484233414,200982.23643362892,false,false
2023-07,147390.00574471737,162977.0837851273,false,false
2023-08,374404.480457984,477620.86604286364,false,false
2023-09,187511.9939358214,242024.91812781533,false,false
2024-06,100964.17710561583,109973.18803800286,false,false
2024-07,81797.58317413689,90783.08205493502,false,false
2024-08,92191.00049930465,110721.91882383572,false,false
2024-09,59709.330747135646,68955.33653355087,false,false
