scenario,profit
2015-06,84916.66859618796
2015-07,110143.81656880434
2015-08,102983.28163873925
2015-09,97610.39756378498
2016-06,70515.11176516167
2016-07,107316.31616447508
2016-08,88694.60365703901
2016-09,98214.2629567669
2017-06,100476.74453023559
2017-07,100550.17051157512
2017-08,84898.95618651621
2017-09,96826.76393220671
2018-06,167231.98951994945
2018-07,161876.57840883045
2018-08,149675.85888240818
2018-09,85038.51883554863
2019-06,124820.07491762353
2019-07,142864.37774855967
2019-08,502413.9515965577
2019-09,171820.22977945497
2020-06,122984.00994272622
2020-07,123765.03321104338
2020-08,136948.74260802407
2020-09,89516.90074168243
2021-06,128769.94829017411
2021-07,90542.59195560843
2021-08,110474.98566947908
2021-09,110372.85168222546
2022-06,170661.4471825266
2022-07,358505.45709977293
2022-08,70515.11176516177
2022-09,58777.96011195217
2023-06,202167.8113666528
2023-07,165810.74667739656
2023-08,519271.33128173155
2023-09,259984.18661108817
2024-06,112529.66497672795
2024-07,93352.02538819048
2024-08,112999.64556534088
2024-09,71868.72713586433
