scenario,profit
s0001,191374.68086280543
s0002,175310.8608179961
s0003,158536.72701269973
s0004,175206.0884789708
s0005,171911.71226226573
s0006,165962.3505033227
s0007,141858.03515240957
s0008,177451.36732967896
s0009,157462.9185609704
s0010,143317.7458744118
s0011,186441.36854487867
s0012,179482.14439645328
s0013,165120.4832150986
s0014,157676.88979155902
s0015,164300.4208556284
s0016,169239.6736562685
s0017,179126.95111550883
s0018,162105.83853244467
s0019,181034.25719448508
s0020,155754.60699160708
s0021,179298.33929808417
s0022,158636.03825196318
s0023,158686.2274655335
s0024,148200.07507624303
s0025,193400.43683549465
s0026,190107.30446370548
s0027,206727.32064610266
s0028,164559.47886523264
s0029,184167.65128158656
s0030,189515.13100099209
s0031,169403.48653979014
s0032,178704.0668179298
s0033,144106.6586195992
s0034,169666.55174733148
s0035,150847.4447945591
s0036,182307.57694077067
s0037,170149.89704800298
s0038,172753.09259848436
s0039,114584.13735156156
s0040,182643.33306616754
s0041,174408.08363533227
s0042,162157.25806179148
s0043,175004.3512562654
s0044,165735.2596664133
s0045,228129.27235539025
s0046,190932.1697906846
s0047,199288.1497068895
s0048,232213.81974226632
s0049,150871.41808381127
s0050,162744.68720115174
s0051,171799.4826196303
s0052,176583.5866168463
s0053,164234.4214727517
s0054,165173.48313166687
s0055,160324.31408166955
s0056,174619.84263698146
s0057,164921.44414513657
s0058,180153.32784729585
s0059,164259.9104244098
s0060,124885.20547469595
s0061,180016.2082552765
s0062,179867.15697211554
s0063,162832.89606947184
s0064,162539.83143866734
s0065,176530.10219645887
s0066,183287.76466030665
s0067,185052.9251379695
s0068,163096.98005243624
s0069,160964.44729113966
s0070,169991.78981669113
s0071,224799.65903643548
s0072,178369.36220808333
s0073,143388.43326432243
s0074,171293.85475207499
s0075,178809.0821179564
s0076,176639.81164320535
s0077,173446.21147387486
s0078,154205.942726651
s0079,161095.09706637848
s0080,171513.93829874464
s0081,166541.66105386813
s0082,189243.80979885848
s0083,163543.03320125883
s0084,157349.1687369553
s0085,150436.44164735824
s0086,180937.538566084
s0087,178411.51064848556
s0088,164800.43150958946
s0089,165938.19072253464
s0090,175993.84690571442
s0091,160459.4877105045
s0092,171049.36784135946
s0093,172421.86156409734
s0094,193851.95594796655
s0095,172936.28806968353
s0096,175657.9003067046
s0097,150570.23589023578
s0098,159805.90781797352
s0099,162192.2673138105
s0100,154829.23284709206
s0101,171744.28015891116
s0102,162744.13630357312
s0103,183426.713230387
s0104,160891.49641497247
s0105,184762.78897729635
s0106,155792.73686860854
s0107,183165.056940544
s0108,179570.12031591922
s0109,183232.9961306533
s0110,185000.63369992448
s0111,167941.7645260543
s0112,171800.93627170773
s0113,180693.56331066455
s0114,163404.89983236179
s0115,176212.52592219002
s0116,188413.7456187034
s0117,189157.20262474136
s0118,179455.28749525725
s0119,164240.12664478744
s0120,162556.942929432
s0121,175248.28972339258
s0122,180466.76364995725
s0123,191293.09262820147
s0124,181117.43983153455
s0125,176783.03206162987
s0126,183975.38483848923
s0127,173163.93045954313
s0128,149183.59105943833
s0129,182744.198102733
s0130,178594.27147376665
s0131,185859.32162849908
s0132,151552.25962955932
s0133,193389.90021425442
s0134,210834.99273268378
s0135,177374.3914632783
s0136,142782.28493475128
s0137,174947.8256671816
s0138,179828.3314823045
s0139,178872.3156689091
s0140,168621.28831791712
s0141,165157.26082808073
s0142,177266.3850679634
s0143,190194.1476733174
s0144,162687.3036173665
s0145,210347.9061409504
s0146,162529.80376322637
s0147,165222.5435186808
s0148,129034.88270109963
s0149,190040.0506235833
s0150,134712.1034049284
s0151,168377.92231434604
s0152,201174.94591123433
s0153,179598.6072398992
s0154,174958.36288604146
s0155,178769.3194382656
s0156,186813.68682134984
s0157,169687.14314461945
s0158,199306.39940388626
s0159,159673.913607638
s0160,206230.54967172485
s0161,161432.4804598331
s0162,139995.23430994558
s0163,180383.306129703
s0164,157558.2340874465
s0165,163102.2830203384
s0166,133357.7171436834
s0167,171458.63339094937
s0168,186365.04307962168
s0169,172598.41741720957
s0170,146527.8735414986
s0171,150950.22776305198
s0172,172553.66179329096
s0173,178779.74768682595
s0174,173232.2959403669
s0175,132582.85662694383
s0176,170474.8360037043
s0177,164385.71175350528
s0178,168209.01005030147
s0179,177775.2916201042
s0180,158833.98608176227
s0181,180868.5827468058
s0182,176204.99108016997
s0183,224501.5153191953
s0184,186999.5071412881
s0185,174136.3169235098
s0186,165219.12185980452
s0187,142467.93972831077
s0188,152791.96662657845
s0189,180651.8308602155
s0190,167949.47177382722
s0191,161722.96735681608
s0192,139294.53329734644
s0193,189668.95305155232
