config,Psell,Qsell,QWind,QSolar,Qdr_contracted,EΠ,CVaR,ρ
Wind+Solar+DR,20.0,0.0,0.0,10.0,2.0,100162.85525155503,-47161.79335586085,26500.530947847088
Wind+Solar+DR,25.0,0.0,0.0,10.0,2.0,99567.85162655501,-47661.86585586086,25952.992885347077
Wind+Solar+DR,30.0,0.0,0.0,10.0,2.0,98984.77225155503,-48004.11835586086,25490.326947847083
Wind+Solar+DR,35.0,4.874888779514448,0.0,10.0,2.0,65194.578436996475,-2659.4805954210588,31267.548920787707
Wind+Solar+DR,40.0,4.860030402034444,0.0,10.0,2.0,82273.7599792651,14446.927289699335,48360.34363448222
Wind+Solar+DR,45.0,5.044113177696373,0.0,10.0,2.0,99381.86593890183,31739.68124007805,65560.77358948994
Wind+Solar+DR,50.0,5.044113177696377,0.0,10.0,2.0,117127.27137860877,49507.21367978492,83317.24252919684
Wind+Solar+DR,55.0,7.953251152106417,10.0,10.0,2.0,143967.69632559488,64646.53593855692,104307.1161320759
Wind+Solar+DR,60.0,7.9422477581856175,10.0,10.0,2.0,172134.91767139584,92811.4630315867,132473.19035149127
Wind+Solar+DR,65.0,10.0,10.0,10.0,2.0,230837.85609754565,103297.34865676344,167067.60237715454
Wind+Solar+DR,70.0,10.0,10.0,10.0,2.0,266549.31772254576,138697.3486567634,202623.33318965457
Wind+Solar+DR,75.0,10.0,10.0,10.0,2.0,302284.3572225458,174097.34865676332,238190.85293965455
Wind+Solar+DR,80.0,10.0,10.0,10.0,2.0,338041.6064725458,209497.34865676338,273769.4775646546
Wind+Solar+DR,85.0,10.0,10.0,10.0,2.0,373810.43922254565,244897.34865676332,309353.89393965446
Wind+Solar+DR,90.0,10.0,10.0,10.0,2.0,409591.4405975457,280338.8336567633,344965.1371271545
Wind+Solar+DR,95.0,10.0,10.0,10.0,2.0,445386.60709754564,315849.8686567632,380618.23787715443
Wind+Solar+DR,100.0,10.0,10.0,10.0,2.0,481192.6243475457,351397.0886567632,416294.85650215443
Wind+Solar+DR,105.0,10.0,10.0,10.0,2.0,517008.84147254576,386965.9886567632,451987.4150646545
Wind+Solar+DR,110.0,10.0,10.0,10.0,2.0,552833.1172225458,422542.5261567633,487687.82168965455
Wind+Solar+DR,115.0,10.0,10.0,10.0,2.0,588665.3457225456,458143.2761567633,523404.3109396545
Wind+Solar+DR,120.0,10.0,10.0,10.0,2.0,624502.8417225454,493773.0761567633,559137.9589396544
Wind+Solar,20.0,0.0,0.0,10.0,0.0,75558.42637655503,-49072.350855860845,13243.037760347092
Wind+Solar,25.0,0.0,0.0,10.0,0.0,75558.42637655503,-49072.350855860845,13243.037760347092
Wind+Solar,30.0,0.0,0.0,10.0,0.0,75558.42637655503,-49072.350855860845,13243.037760347092
Wind+Solar,35.0,4.458334390768987,0.0,10.0,0.0,45174.9142847231,-8003.221621949872,18585.846331386612
Wind+Solar,40.0,4.458334390768986,0.0,10.0,0.0,61224.91809149143,8046.782184818501,34635.850138154965
Wind+Solar,45.0,4.458334390768987,0.0,10.0,0.0,77274.92189825981,24096.78599158681,50685.85394492331
Wind+Solar,50.0,4.458334390768988,0.0,10.0,0.0,93324.92570502814,40146.78979835521,66735.85775169168
Wind+Solar,55.0,7.50704293081532,10.0,10.0,0.0,119490.4260358841,56174.31285975389,87832.36944781899
Wind+Solar,60.0,7.507042930815318,10.0,10.0,0.0,146515.78058681922,83199.66741068897,114857.7239987541
Wind+Solar,65.0,10.0,10.0,10.0,0.0,210399.5259725457,89016.3361567634,149707.93106465455
Wind+Solar,70.0,10.0,10.0,10.0,0.0,246399.5259725457,125016.33615676337,185707.93106465455
Wind+Solar,75.0,10.0,10.0,10.0,0.0,282399.5259725457,161016.33615676343,221707.93106465458
Wind+Solar,80.0,10.0,10.0,10.0,0.0,318399.5259725457,197016.33615676328,257707.9310646545
Wind+Solar,85.0,10.0,10.0,10.0,0.0,354399.5259725457,233016.33615676325,293707.9310646545
Wind+Solar,90.0,10.0,10.0,10.0,0.0,390399.52597254567,269016.33615676325,329707.9310646545
Wind+Solar,95.0,10.0,10.0,10.0,0.0,426399.5259725457,305016.33615676325,365707.9310646545
Wind+Solar,100.0,10.0,10.0,10.0,0.0,462399.5259725456,341016.3361567632,401707.9310646544
Wind+Solar,105.0,10.0,10.0,10.0,0.0,498399.5259725457,377016.33615676314,437707.93106465443
Wind+Solar,110.0,10.0,10.0,10.0,0.0,534399.5259725458,413016.33615676325,473707.93106465455
Wind+Solar,115.0,10.0,10.0,10.0,0.0,570399.5259725456,449016.33615676337,509707.9310646545
Wind+Solar,120.0,10.0,10.0,10.0,0.0,606399.5259725456,485016.33615676337,545707.9310646545
