λ,Qsell,QWind,QSolar,Qdr_contracted,EΠ,CVaR,ρ
0.0,10.0,0.0,10.0,2.0,172501.28612655494,-12573.231254903792,172501.28612655494
0.1,10.0,0.3460151736730365,10.0,2.0,172051.15557867097,-7877.150987332585,154058.3249220706
0.2,10.0,0.3460151736730365,10.0,2.0,172051.15557867097,-7877.150987332585,136065.49426547028
0.3,10.0,10.0,10.0,2.0,159492.3032225457,32497.348656763348,121393.816852811
0.4,7.953251152106417,10.0,10.0,2.0,143967.69632559488,64646.53593855692,112239.2321707797
0.5,7.953251152106417,10.0,10.0,2.0,143967.69632559488,64646.53593855692,104307.1161320759
0.6,7.953251152106417,10.0,10.0,2.0,143967.69632559488,64646.53593855692,96375.0000933721
0.7,7.953251152106417,10.0,10.0,2.0,143967.69632559488,64646.53593855692,88442.8840546683
0.8,5.2942843053186,0.7002319872807967,10.0,2.0,135897.46316510448,67518.99286534532,81194.68692529715
0.9,5.2942843053186,0.7002319872807967,10.0,2.0,135897.46316510448,67518.99286534532,74356.83989532125
1.0,5.2942843053186,0.7002319872807967,10.0,2.0,115409.0389151045,67518.99286534532,67518.99286534532
