Qdr_contracted_max,Profit,CVaR,Certainty_Equivalent,Qsell,QWind,QSolar,Qdr_contracted,DR_Events,DR_Hours,DR_Energy
0.0,95163.57090216935,65662.5526208503,80413.06176150983,2.2242950153509025,2.0,2.0,0.0,40,40,0.0
1.0,121493.87213509073,67687.79753141371,94590.83483325221,3.1234112481609366,2.0,2.0,1.0,308,1443,1116.0
2.0,147824.17336801218,69713.0424419771,108768.60790499464,4.022527480970972,2.0,2.0,2.0,307,1339,2232.0
3.0,174154.1646634335,71738.28735254056,122946.22600798703,4.9216437137810045,2.0,2.0,3.0,307,1339,3348.0
4.0,200484.77583385498,73763.532263104,137124.15404847948,5.820759946591039,2.0,2.0,4.0,310,1450,4464.0
5.0,226815.07706677643,75788.77717366742,151301.92712022192,6.7198761794010755,2.0,2.0,5.0,306,1334,5580.0
6.0,253145.37829969786,77814.02208423076,165479.7001919643,7.61899241221111,2.0,2.0,6.0,307,1342,6696.0
7.0,279475.6795326192,79839.26699479428,179657.47326370672,8.518108645021144,2.0,2.0,7.0,307,1322,7812.0
8.0,305805.98076554056,81864.51190535762,193835.2463354491,9.417224877831181,2.0,2.0,8.0,310,1276,8928.0
9.0,326319.4182570091,85442.18223135264,205880.8002441809,10.0,2.0,2.0,9.0,308,1460,10044.0
10.0,336120.3899445091,91879.78723135265,214000.08858793086,10.0,2.0,2.0,10.0,310,1393,11160.0
