Qsell,E,CVaR,rho
0.0,-1.2963723890372617e6,-8.925917679621525e6,-8.849622226715684e6
0.01,-1.2917047998275014e6,-8.914741747713525e6,-8.838511378234666e6
0.02,-1.2870372106177418e6,-8.903565815805525e6,-8.827400529753648e6
0.03,-1.2823696214079817e6,-8.892389883897517e6,-8.816289681272622e6
0.04,-1.2777020321982226e6,-8.881213951989518e6,-8.805178832791606e6
0.05,-1.2730344429884623e6,-8.870038020081516e6,-8.794067984310586e6
0.06,-1.268366853778701e6,-8.858862088173525e6,-8.782957135829577e6
0.07,-1.2636992645689426e6,-8.847686156265523e6,-8.771846287348557e6
0.08,-1.2590316753591811e6,-8.836510224357523e6,-8.76073543886754e6
0.09,-1.254364086149423e6,-8.82533429244952e6,-8.74962459038652e6
0.1,-1.249696496939662e6,-8.814158360541513e6,-8.738513741905494e6
0.11,-1.245028907729901e6,-8.80298242863352e6,-8.727402893424483e6
0.12,-1.2403613185201425e6,-8.791806496725524e6,-8.716292044943469e6
0.13,-1.2356937293103817e6,-8.780630564817527e6,-8.705181196462454e6
0.14,-1.2310261401006228e6,-8.769454632909529e6,-8.69407034798144e6
0.15,-1.226358550890862e6,-8.758278701001521e6,-8.682959499500414e6
0.16,-1.221690961681101e6,-8.747102769093527e6,-8.671848651019402e6
0.17,-1.2170233724713426e6,-8.735926837185523e6,-8.66073780253838e6
0.18,-1.212355783261581e6,-8.72475090527752e6,-8.64962695405736e6
0.19,-1.2076881940518226e6,-8.71357497336952e6,-8.638516105576342e6
0.2,-1.2030206048420616e6,-8.702399041461524e6,-8.627405257095328e6
0.21,-1.1983530156323018e6,-8.691223109553518e6,-8.616294408614306e6
0.22,-1.1936854264225422e6,-8.680047177645518e6,-8.605183560133288e6
0.23,-1.1890178372127817e6,-8.668871245737523e6,-8.594072711652275e6
0.24,-1.1843502480030225e6,-8.65769531382952e6,-8.582961863171255e6
0.25,-1.1796826587932617e6,-8.646519381921526e6,-8.571851014690243e6
0.26,-1.1750150695835014e6,-8.635343450013515e6,-8.560740166209213e6
0.27,-1.1703474803737425e6,-8.624167518105518e6,-8.5496293177282e6
0.28,-1.1656798911639818e6,-8.61299171371161e6,-8.538518595486134e6
0.29,-1.1610123019542224e6,-8.60181619695562e6,-8.527408158005606e6
0.3,-1.1563447127444625e6,-8.590640680199608e6,-8.516297720525056e6
0.31,-1.1516771235347008e6,-8.579465163443597e6,-8.505187283044508e6
0.32,-1.1470095343249422e6,-8.568289646687595e6,-8.494076845563969e6
0.33,-1.1423419451151812e6,-8.557114129931597e6,-8.482966408083431e6
0.34,-1.1376743559054225e6,-8.545938613175603e6,-8.471855970602902e6
0.35,-1.1330067666956617e6,-8.534763096419608e6,-8.46074553312237e6
0.36,-1.1283391774859012e6,-8.523587579663614e6,-8.449635095641837e6
0.37,-1.123671588276142e6,-8.512412062907606e6,-8.438524658161292e6
0.38,-1.1190039990663815e6,-8.501236546151605e6,-8.427414220680753e6
0.39,-1.114336409856623e6,-8.490061029395603e6,-8.416303783200212e6
0.4,-1.1096688206468618e6,-8.478885512639603e6,-8.405193345719675e6
0.41,-1.1050012314371013e6,-8.4677099958836e6,-8.394082908239136e6
0.42,-1.1003336422273428e6,-8.456534479127605e6,-8.382972470758602e6
0.43,-1.095666053017581e6,-8.445358962371603e6,-8.371862033278063e6
0.44,-1.0909984638078231e6,-8.434183445615612e6,-8.360751595797534e6
0.45,-1.0863308745980621e6,-8.423007928859605e6,-8.3496411583169885e6
0.46,-1.0816632853883018e6,-8.411832412103603e6,-8.338530720836449e6
0.47,-1.0769956961785425e6,-8.400656895347603e6,-8.327420283355912e6
0.48,-1.0723281069687817e6,-8.389481378591603e6,-8.316309845875374e6
0.49,-1.0676605177590228e6,-8.378305861835601e6,-8.305199408394835e6
